index,country,year,month,indicator,gwh
0,AUT,2008,1,Consumption,0.0007434961213704844
1,AUT,2008,2,Consumption,0.000687977257935352
2,AUT,2008,3,Consumption,0.0007063633750469867
3,AUT,2008,4,Consumption,0.0006534882670135274
4,AUT,2008,5,Consumption,0.0006270507129967977
5,AUT,2008,6,Consumption,0.0006260893473961893
6,AUT,2008,7,Consumption,0.0006365441983028051
7,AUT,2008,8,Consumption,0.0006111881805867599
8,AUT,2008,9,Consumption,0.0006420720505063032
9,AUT,2008,10,Consumption,0.0006765610414281279
10,AUT,2008,11,Consumption,0.000677041724228432
11,AUT,2008,12,Consumption,0.0006953076706399907
12,BEL,2008,1,Consumption,0.0007843157027566737
13,BEL,2008,2,Consumption,0.0007406181136030875
14,BEL,2008,3,Consumption,0.0007513557690574943
15,BEL,2008,4,Consumption,0.0007046703105600733
16,BEL,2008,5,Consumption,0.0006743247625367496
17,BEL,2008,6,Consumption,0.0006563041755567451
18,BEL,2008,7,Consumption,0.0006437924726794363
19,BEL,2008,8,Consumption,0.000638003475825756
20,BEL,2008,9,Consumption,0.0006668550891771622
21,BEL,2008,10,Consumption,0.0007073780671529238
22,BEL,2008,11,Consumption,0.000688330400085976
23,BEL,2008,12,Consumption,0.0007004686192953055
24,BGR,2008,1,Consumption,0.0005082374371059509
25,BGR,2008,2,Consumption,0.0004379010060778951
26,BGR,2008,3,Consumption,0.0003901202806356865
27,BGR,2008,4,Consumption,0.0003460765951721981
28,BGR,2008,5,Consumption,0.0003268575324244941
29,BGR,2008,6,Consumption,0.00031938345246705364
30,BGR,2008,7,Consumption,0.00033900291235533487
31,BGR,2008,8,Consumption,0.0003416722266258493
32,BGR,2008,9,Consumption,0.0003309949695437915
33,BGR,2008,10,Consumption,0.0003596900979518218
34,BGR,2008,11,Consumption,0.00040039714057716713
35,BGR,2008,12,Consumption,0.0004431061689053983
36,CYP,2008,1,Consumption,0.0003991248546764434
37,CYP,2008,2,Consumption,0.0003597616235959685
38,CYP,2008,3,Consumption,0.0002938510971356384
39,CYP,2008,4,Consumption,0.00027828888949917155
40,CYP,2008,5,Consumption,0.0003094133047721052
41,CYP,2008,6,Consumption,0.00038356264703997655
42,CYP,2008,7,Consumption,0.00047602046888016187
43,CYP,2008,8,Consumption,0.00046778165307262057
44,CYP,2008,9,Consumption,0.00039454773478336493
45,CYP,2008,10,Consumption,0.00032222924047272495
46,CYP,2008,11,Consumption,0.00028927397724255987
47,CYP,2008,12,Consumption,0.000346030263916733
48,CZE,2008,1,Consumption,0.0006116748035529139
49,CZE,2008,2,Consumption,0.0005660303046731782
50,CZE,2008,3,Consumption,0.0005796080986437324
51,CZE,2008,4,Consumption,0.0005288598899736465
52,CZE,2008,5,Consumption,0.0004921709573298084
53,CZE,2008,6,Consumption,0.00046068203088745906
54,CZE,2008,7,Consumption,0.00046424499809959033
55,CZE,2008,8,Consumption,0.0004580820277867146
56,CZE,2008,9,Consumption,0.0004891857685845092
