index,level_0,country,year,month,gwh,indicator
1,0,AUT,2008,1,6187.0,Consumption
3,1,BEL,2008,1,8400.0,Consumption
4,2,BGR,2008,1,3808.0,Consumption
5,3,CYP,2008,1,436.0,Consumption
6,4,CZE,2008,1,6352.0,Consumption
7,5,DEU,2008,1,44608.0,Consumption
8,6,DNK,2008,1,3430.0,Consumption
9,7,EST,2008,1,864.0,Consumption
11,8,ESP,2008,1,24597.0,Consumption
13,9,FIN,2008,1,8836.0,Consumption
14,10,FRA,2008,1,49891.0,Consumption
16,11,HUN,2008,1,3779.0,Consumption
17,12,IRL,2008,1,2656.0,Consumption
19,13,ITA,2008,1,29553.0,Consumption
20,14,LTU,2008,1,1030.0,Consumption
21,15,LUX,2008,1,619.0,Consumption
22,16,LVA,2008,1,776.0,Consumption
26,17,NLD,2008,1,10753.0,Consumption
27,18,NOR,2008,1,13032.0,Consumption
28,19,POL,2008,1,12980.0,Consumption
29,20,PRT,2008,1,3754.0,Consumption
30,21,ROU,2008,1,5087.0,Consumption
32,22,SWE,2008,1,14717.0,Consumption
33,23,SVN,2008,1,1215.0,Consumption
34,24,SVK,2008,1,2566.0,Consumption
39,25,AUT,2008,1,2503.0,Imports
41,26,BEL,2008,1,1588.0,Imports
42,27,BGR,2008,1,467.0,Imports
43,28,CYP,2008,1,0.0,Imports
44,29,CZE,2008,1,1064.0,Imports
45,30,DEU,2008,1,3525.0,Imports
46,31,DNK,2008,1,753.0,Imports
47,32,EST,2008,1,17.0,Imports
49,33,ESP,2008,1,775.0,Imports
51,34,FIN,2008,1,1674.0,Imports
52,35,FRA,2008,1,798.0,Imports
54,36,HUN,2008,1,1420.0,Imports
55,37,IRL,2008,1,37.0,Imports
57,38,ITA,2008,1,3887.0,Imports
58,39,LTU,2008,1,508.0,Imports
59,40,LUX,2008,1,613.0,Imports
60,41,LVA,2008,1,484.0,Imports
64,42,NLD,2008,1,2273.0,Imports
65,43,NOR,2008,1,487.0,Imports
66,44,POL,2008,1,1008.0,Imports
67,45,PRT,2008,1,894.0,Imports
68,46,ROU,2008,1,90.0,Imports
70,47,SWE,2008,1,840.0,Imports
71,48,SVN,2008,1,587.0,Imports
72,49,SVK,2008,1,1153.0,Imports
115,50,AUT,2008,2,5725.0,Consumption
117,51,BEL,2008,2,7932.0,Consumption
118,52,BGR,2008,2,3281.0,Consumption
119,53,CYP,2008,2,393.0,Consumption
120,54,CZE,2008,2,5878.0,Consumption
121,55,DEU,2008,2,43957.0,Consumption
122,56,DNK,2008,2,3149.0,Consumption
123,57,EST,2008,2,775.0,Consumption
125,58,ESP,2008,2,23096.0,Consumption
127,59,FIN,2008,2,7955.0,Consumption
128,60,FRA,2008,2,45277.0,Consumption
