index,country,year,month,indicator,gwh
0,AUT,2008,1,Consumption,0.0007434961213704844
1,AUT,2008,1,Imports,0.00030078726229033816
2,AUT,2008,2,Consumption,0.000687977257935352
3,AUT,2008,2,Imports,0.0002743497082736085
4,AUT,2008,3,Consumption,0.0007063633750469867
5,AUT,2008,3,Imports,0.00025980905356440715
6,AUT,2008,4,Consumption,0.0006534882670135274
7,AUT,2008,4,Imports,0.00021198111493414166
8,AUT,2008,5,Consumption,0.0006270507129967977
9,AUT,2008,5,Imports,0.00015465969099786865
10,AUT,2008,6,Consumption,0.0006260893473961893
11,AUT,2008,6,Imports,9.890048616258422e-05
12,AUT,2008,7,Consumption,0.0006365441983028051
13,AUT,2008,7,Imports,9.253143905855389e-05
14,AUT,2008,8,Consumption,0.0006111881805867599
15,AUT,2008,8,Imports,9.926099826281236e-05
16,AUT,2008,9,Consumption,0.0006420720505063032
17,AUT,2008,9,Imports,0.00014696876619300185
18,AUT,2008,10,Consumption,0.0006765610414281279
19,AUT,2008,10,Imports,0.00021354333403513022
20,AUT,2008,11,Consumption,0.000677041724228432
21,AUT,2008,11,Imports,0.0002497147147580195
22,AUT,2008,12,Consumption,0.0006953076706399907
23,AUT,2008,12,Imports,0.0002762724394748252
24,BEL,2008,1,Consumption,0.0007843157027566737
25,BEL,2008,1,Imports,0.00014827301618780924
26,BEL,2008,2,Consumption,0.0007406181136030875
27,BEL,2008,2,Imports,0.00014649896876490725
28,BEL,2008,3,Consumption,0.0007513557690574943
29,BEL,2008,3,Imports,0.0001989734241160085
30,BEL,2008,4,Consumption,0.0007046703105600733
31,BEL,2008,4,Imports,0.0001760975494522722
32,BEL,2008,5,Consumption,0.0006743247625367496
33,BEL,2008,5,Imports,0.00014967357994273187
34,BEL,2008,6,Consumption,0.0006563041755567451
35,BEL,2008,6,Imports,0.00013716187706542304
36,BEL,2008,7,Consumption,0.0006437924726794363
37,BEL,2008,7,Imports,9.654552817266673e-05
38,BEL,2008,8,Consumption,0.000638003475825756
39,BEL,2008,8,Imports,0.00013958952090728892
40,BEL,2008,9,Consumption,0.0006668550891771622
41,BEL,2008,9,Imports,0.00011652690440956294
42,BEL,2008,10,Consumption,0.0007073780671529238
43,BEL,2008,10,Imports,0.00011073790755588273
44,BEL,2008,11,Consumption,0.000688330400085976
45,BEL,2008,11,Imports,0.00010093396127142431
46,BEL,2008,12,Consumption,0.0007004686192953055
47,BEL,2008,12,Imports,8.09525850345281e-05
48,BGR,2008,1,Consumption,0.0005082374371059509
49,BGR,2008,1,Imports,6.232848821651235e-05
50,BGR,2008,2,Consumption,0.0004379010060778951
51,BGR,2008,2,Imports,7.260534815799297e-05
52,BGR,2008,3,Consumption,0.0003901202806356865
53,BGR,2008,3,Imports,4.244209690117972e-05
54,BGR,2008,4,Consumption,0.0003460765951721981
55,BGR,2008,4,Imports,1.8818665607126854e-05
56,BGR,2008,5,Consumption,0.0003268575324244941
57,BGR,2008,5,Imports,1.574895419603524e-05
58,BGR,2008,6,Consumption,0.00031938345246705364
59,BGR,2008,6,Imports,2.8428196980978867e-05
60,BGR,2008,7,Consumption,0.00033900291235533487
61,BGR,2008,7,Imports,3.029671697033898e-05
62,BGR,2008,8,Consumption,0.0003416722266258493
63,BGR,2008,8,Imports,3.7904262641305156e-05
64,BGR,2008,9,Consumption,0.0003309949695437915
65,BGR,2008,9,Imports,2.5491951283412974e-05
66,BGR,2008,10,Consumption,0.0003596900979518218
67,BGR,2008,10,Imports,2.3356499867001417e-05
68,BGR,2008,11,Consumption,0.00040039714057716713
69,BGR,2008,11,Imports,1.695014561776674e-05
70,BGR,2008,12,Consumption,0.0004431061689053983
71,BGR,2008,12,Imports,3.897198834951093e-05
72,CYP,2008,1,Consumption,0.0003991248546764434
73,CYP,2008,1,Imports,0.0
74,CYP,2008,2,Consumption,0.0003597616235959685
75,CYP,2008,2,Imports,0.0
76,CYP,2008,3,Consumption,0.0002938510971356384
77,CYP,2008,3,Imports,0.0
78,CYP,2008,4,Consumption,0.00027828888949917155
79,CYP,2008,4,Imports,0.0
80,CYP,2008,5,Consumption,0.0003094133047721052
81,CYP,2008,5,Imports,0.0
82,CYP,2008,6,Consumption,0.00038356264703997655
83,CYP,2008,6,Imports,0.0
84,CYP,2008,7,Consumption,0.00047602046888016187
85,CYP,2008,7,Imports,0.0
86,CYP,2008,8,Consumption,0.00046778165307262057
87,CYP,2008,8,Imports,0.0
88,CYP,2008,9,Consumption,0.00039454773478336493
89,CYP,2008,9,Imports,0.0
90,CYP,2008,10,Consumption,0.00032222924047272495
91,CYP,2008,10,Imports,0.0
92,CYP,2008,11,Consumption,0.00028927397724255987
93,CYP,2008,11,Imports,0.0
94,CYP,2008,12,Consumption,0.000346030263916733
95,CYP,2008,12,Imports,0.0
96,CZE,2008,1,Consumption,0.0006116748035529139
97,CZE,2008,1,Imports,0.00010245938145155862
98,CZE,2008,2,Consumption,0.0005660303046731782
99,CZE,2008,2,Imports,8.329639563496072e-05
100,CZE,2008,3,Consumption,0.0005796080986437324
101,CZE,2008,3,Imports,6.81778590861875e-05
102,CZE,2008,4,Consumption,0.0005288598899736465
103,CZE,2008,4,Imports,5.479265793791058e-05
104,CZE,2008,5,Consumption,0.0004921709573298084
105,CZE,2008,5,Imports,4.882228044731224e-05
106,CZE,2008,6,Consumption,0.00046068203088745906
107,CZE,2008,6,Imports,5.248154407058219e-05
108,CZE,2008,7,Consumption,0.00046424499809959033
109,CZE,2008,7,Imports,7.231860476515086e-05
110,CZE,2008,8,Consumption,0.0004580820277867146
111,CZE,2008,8,Imports,5.7007475394100284e-05
112,CZE,2008,9,Consumption,0.0004891857685845092
113,CZE,2008,9,Imports,4.6511166579983845e-05
114,CZE,2008,10,Consumption,0.0005325191535969165
115,CZE,2008,10,Imports,7.43408293990632e-05
116,CZE,2008,11,Consumption,0.0005427265731776169
117,CZE,2008,11,Imports,8.618528796912121e-05
118,CZE,2008,12,Consumption,0.0005477339865568284
119,CZE,2008,12,Imports,7.414823657678584e-05
120,DEU,2008,1,Consumption,0.0005432705797436824
121,DEU,2008,1,Imports,4.2930164849275476e-05
122,DEU,2008,2,Consumption,0.0005353422003630077
123,DEU,2008,2,Imports,3.8752846680963e-05
124,DEU,2008,3,Consumption,0.0005198508047067586
125,DEU,2008,3,Imports,3.652413173985168e-05
126,DEU,2008,4,Consumption,0.0005419552725653217
127,DEU,2008,4,Imports,3.9020779624703157e-05
128,DEU,2008,5,Consumption,0.0005101686824216028
129,DEU,2008,5,Imports,4.224815371975508e-05
130,DEU,2008,6,Consumption,0.0005019601913270179
131,DEU,2008,6,Imports,5.158927044015062e-05
132,DEU,2008,7,Consumption,0.0005122147158101641
133,DEU,2008,7,Imports,5.439038757925228e-05
134,DEU,2008,8,Consumption,0.0004944946052128035
135,DEU,2008,8,Imports,4.721709194911802e-05
136,DEU,2008,9,Consumption,0.0005104122578250029
137,DEU,2008,9,Imports,4.085977392037425e-05
138,DEU,2008,10,Consumption,0.0005293258878990241
139,DEU,2008,10,Imports,3.524536087200092e-05
140,DEU,2008,11,Consumption,0.0005170009724869769
141,DEU,2008,11,Imports,3.734010934124216e-05
142,DEU,2008,12,Consumption,0.0005277304690067533
143,DEU,2008,12,Imports,4.139563980785457e-05
144,DNK,2008,1,Consumption,0.0006243605083059061
145,DNK,2008,1,Imports,0.00013706806494295838
146,DNK,2008,2,Consumption,0.0005732102742435272
147,DNK,2008,2,Imports,0.00015690925893868543
148,DNK,2008,3,Consumption,0.0005806734756547639
149,DNK,2008,3,Imports,0.00016328028453364366
150,DNK,2008,4,Consumption,0.0005337099155547862
151,DNK,2008,4,Imports,0.00024865202750608387
152,DNK,2008,5,Consumption,0.0005151429266780508
153,DNK,2008,5,Imports,0.00023299750747275794
154,DNK,2008,6,Consumption,0.0005009446410664296
155,DNK,2008,6,Imports,0.00019604555902200024
156,DNK,2008,7,Consumption,0.0004831057694005466
157,DNK,2008,7,Imports,0.0002830555657188583
158,DNK,2008,8,Consumption,0.0005133226336509199
159,DNK,2008,8,Imports,0.00022790068699679136
160,DNK,2008,9,Consumption,0.0005184194541268865
161,DNK,2008,9,Imports,0.00022990300932663538
162,DNK,2008,10,Consumption,0.000563016633291594
163,DNK,2008,10,Imports,0.00017456610130185538
164,DNK,2008,11,Consumption,0.0005804914463520508
165,DNK,2008,11,Imports,0.00013160718586156562
166,DNK,2008,12,Consumption,0.0006019709040721958
167,DNK,2008,12,Imports,0.00015108432125186648
168,ESP,2008,1,Consumption,0.0005352514093082346
169,ESP,2008,1,Imports,1.6864651876809442e-05
170,ESP,2008,2,Consumption,0.0005025883867700527
171,ESP,2008,2,Imports,1.3339395613527984e-05
172,ESP,2008,3,Consumption,0.0004719926441393507
173,ESP,2008,3,Imports,5.0049934602144145e-06
174,ESP,2008,4,Consumption,0.0004637235245094312
175,ESP,2008,4,Imports,5.592536170761324e-06
176,ESP,2008,5,Consumption,0.0004682280186236242
177,ESP,2008,5,Imports,1.2273114398091e-05
178,ESP,2008,6,Consumption,0.00045743464142246614
179,ESP,2008,6,Imports,7.268120937876585e-06
180,ESP,2008,7,Consumption,0.0005071364025665084
181,ESP,2008,7,Imports,1.0989224771340345e-05
182,ESP,2008,8,Consumption,0.0004846792145189377
183,ESP,2008,8,Imports,1.0902181406814878e-05
184,ESP,2008,9,Consumption,0.00046931606068019254
185,ESP,2008,9,Imports,9.05250991064868e-06
186,ESP,2008,10,Consumption,0.0004635059160981175
187,ESP,2008,10,Imports,6.180078881308234e-06
188,ESP,2008,11,Consumption,0.00047808567965613346
189,ESP,2008,11,Imports,1.2817135426375175e-05
190,ESP,2008,12,Consumption,0.0005066576640616184
191,ESP,2008,12,Imports,1.4775611128198208e-05
192,EST,2008,1,Consumption,0.0006461793895698869
193,EST,2008,1,Imports,1.2714177804037126e-05
194,EST,2008,2,Consumption,0.0005796169293016925
195,EST,2008,2,Imports,7.478928120021838e-06
196,EST,2008,3,Consumption,0.000610280534593782
197,EST,2008,3,Imports,0.00016528431145248262
198,EST,2008,4,Consumption,0.0005265165396495374
199,EST,2008,4,Imports,0.00012265442116835815
200,EST,2008,5,Consumption,0.00047640772124539114
201,EST,2008,5,Imports,0.00011442760023633413
202,EST,2008,6,Consumption,0.0004255510100292426
203,EST,2008,6,Imports,0.0001338728133483909
204,EST,2008,7,Consumption,0.00041956786753322514
205,EST,2008,7,Imports,0.00011741917148434286
206,EST,2008,8,Consumption,0.00046070197219334524
207,EST,2008,8,Imports,4.4873568720131034e-06
208,EST,2008,9,Consumption,0.0005152981474695047
209,EST,2008,9,Imports,7.478928120021838e-06
210,EST,2008,10,Consumption,0.000536987039017568
211,EST,2008,10,Imports,7.40413883882162e-05
212,EST,2008,11,Consumption,0.0005698943227456641
213,EST,2008,11,Imports,0.00012190652835635596
214,EST,2008,12,Consumption,0.000622246819585817
215,EST,2008,12,Imports,0.00013536859897239528
216,FIN,2008,1,Consumption,0.0016629656459076383
217,FIN,2008,1,Imports,0.0003150525680454263
218,FIN,2008,2,Consumption,0.001497158410275607
219,FIN,2008,2,Imports,0.00028061133748848903
220,FIN,2008,3,Consumption,0.001558136326671496
221,FIN,2008,3,Imports,0.0003016901234031173
222,FIN,2008,4,Consumption,0.0013550648087975324
223,FIN,2008,4,Imports,0.000246922920714217
224,FIN,2008,5,Consumption,0.0012782778029656722
225,FIN,2008,5,Imports,0.0002774118789121615
226,FIN,2008,6,Consumption,0.001146911797890578
227,FIN,2008,6,Imports,0.0001878270387749913
