index,level_0,country,year,month,temperature
1736,0,AUT,2000,1,-3.0
1737,1,AUT,2000,2,2.0
1738,2,AUT,2000,3,4.0
1739,3,AUT,2000,4,10.0
1740,4,AUT,2000,5,14.0
1741,5,AUT,2000,6,17.0
1742,6,AUT,2000,7,16.0
1743,7,AUT,2000,8,19.0
1744,8,AUT,2000,9,14.0
1745,9,AUT,2000,10,11.0
1746,10,AUT,2000,11,5.0
1747,11,AUT,2000,12,1.0
1748,12,AUT,2001,1,-1.0
1749,13,AUT,2001,2,1.0
1750,14,AUT,2001,3,6.0
1751,15,AUT,2001,4,7.0
1752,16,AUT,2001,5,15.0
1753,17,AUT,2001,6,15.0
1754,18,AUT,2001,7,18.0
1755,19,AUT,2001,8,19.0
1756,20,AUT,2001,9,11.0
1757,21,AUT,2001,10,12.0
1758,22,AUT,2001,11,2.0
1759,23,AUT,2001,12,-4.0
1760,24,AUT,2002,1,-2.0
1761,25,AUT,2002,2,4.0
1762,26,AUT,2002,3,5.0
1763,27,AUT,2002,4,8.0
1764,28,AUT,2002,5,14.0
1765,29,AUT,2002,6,18.0
1766,30,AUT,2002,7,18.0
1767,31,AUT,2002,8,18.0
1768,32,AUT,2002,9,12.0
1769,33,AUT,2002,10,8.0
1770,34,AUT,2002,11,6.0
1771,35,AUT,2002,12,0.0
1772,36,AUT,2003,1,-3.0
1773,37,AUT,2003,2,-4.0
1774,38,AUT,2003,3,5.0
1775,39,AUT,2003,4,7.0
1776,40,AUT,2003,5,15.0
1777,41,AUT,2003,6,20.0
1778,42,AUT,2003,7,19.0
1779,43,AUT,2003,8,21.0
1780,44,AUT,2003,9,13.0
1781,45,AUT,2003,10,6.0
1782,46,AUT,2003,11,5.0
1783,47,AUT,2003,12,0.0
1784,48,AUT,2004,1,-3.0
1785,49,AUT,2004,2,1.0
1786,50,AUT,2004,3,2.0
1787,51,AUT,2004,4,9.0
1788,52,AUT,2004,5,11.0
1789,53,AUT,2004,6,15.0
1790,54,AUT,2004,7,17.0
1791,55,AUT,2004,8,18.0
1792,56,AUT,2004,9,14.0
1793,57,AUT,2004,10,10.0
1794,58,AUT,2004,11,3.0
1795,59,AUT,2004,12,-1.0
1796,60,AUT,2005,1,-2.0
1797,61,AUT,2005,2,-3.0
1798,62,AUT,2005,3,2.0
1799,63,AUT,2005,4,8.0
1800,64,AUT,2005,5,13.0
1801,65,AUT,2005,6,16.0
1802,66,AUT,2005,7,18.0
1803,67,AUT,2005,8,16.0
1804,68,AUT,2005,9,14.0
1805,69,AUT,2005,10,10.0
1806,70,AUT,2005,11,2.0
1807,71,AUT,2005,12,-3.0
1808,72,AUT,2006,1,-5.0
1809,73,AUT,2006,2,-2.0
1810,74,AUT,2006,3,1.0
1811,75,AUT,2006,4,9.0
1812,76,AUT,2006,5,12.0
1813,77,AUT,2006,6,16.0
1814,78,AUT,2006,7,21.0
1815,79,AUT,2006,8,15.0
1816,80,AUT,2006,9,16.0
1817,81,AUT,2006,10,11.0
1818,82,AUT,2006,11,5.0
1819,83,AUT,2006,12,1.0
1820,84,AUT,2007,1,3.0
1821,85,AUT,2007,2,3.0
1822,86,AUT,2007,3,5.0
1823,87,AUT,2007,4,11.0
1824,88,AUT,2007,5,14.0
1825,89,AUT,2007,6,18.0
1826,90,AUT,2007,7,19.0
1827,91,AUT,2007,8,17.0
1828,92,AUT,2007,9,12.0
1829,93,AUT,2007,10,8.0
1830,94,AUT,2007,11,2.0
1831,95,AUT,2007,12,-1.0
1832,96,AUT,2008,1,1.0
1833,97,AUT,2008,2,3.0
1834,98,AUT,2008,3,4.0
1835,99,AUT,2008,4,8.0
1836,100,AUT,2008,5,14.0
1837,101,AUT,2008,6,17.0
1838,102,AUT,2008,7,18.0
1839,103,AUT,2008,8,18.0
1840,104,AUT,2008,9,13.0
1841,105,AUT,2008,10,10.0
1842,106,AUT,2008,11,4.0
1843,107,AUT,2008,12,0.0
1844,108,AUT,2009,1,-3.0
1845,109,AUT,2009,2,-1.0
1846,110,AUT,2009,3,3.0
1847,111,AUT,2009,4,11.0
1848,112,AUT,2009,5,14.0
1849,113,AUT,2009,6,15.0
1850,114,AUT,2009,7,18.0
1851,115,AUT,2009,8,19.0
1852,116,AUT,2009,9,15.0
1853,117,AUT,2009,10,8.0
1854,118,AUT,2009,11,5.0
1855,119,AUT,2009,12,-1.0
1856,120,AUT,2010,1,-4.0
1857,121,AUT,2010,2,-1.0
1858,122,AUT,2010,3,4.0
1859,123,AUT,2010,4,9.0
1860,124,AUT,2010,5,12.0
1861,125,AUT,2010,6,16.0
1862,126,AUT,2010,7,20.0
1863,127,AUT,2010,8,17.0
1864,128,AUT,2010,9,12.0
1865,129,AUT,2010,10,7.0
1866,130,AUT,2010,11,5.0
1867,131,AUT,2010,12,-4.0
1868,132,AUT,2011,1,-1.0
1869,133,AUT,2011,2,0.0
1870,134,AUT,2011,3,5.0
1871,135,AUT,2011,4,11.0
1872,136,AUT,2011,5,14.0
1873,137,AUT,2011,6,17.0
1874,138,AUT,2011,7,17.0
1875,139,AUT,2011,8,19.0
1876,140,AUT,2011,9,16.0
1877,141,AUT,2011,10,9.0
1878,142,AUT,2011,11,3.0
1879,143,AUT,2011,12,1.0
1880,144,AUT,2012,1,-1.0
1881,145,AUT,2012,2,-5.0
1882,146,AUT,2012,3,7.0
1883,147,AUT,2012,4,9.0
1884,148,AUT,2012,5,14.0
1885,149,AUT,2012,6,18.0
1886,150,AUT,2012,7,19.0
1887,151,AUT,2012,8,19.0
1888,152,AUT,2012,9,14.0
1889,153,AUT,2012,10,9.0
1890,154,AUT,2012,11,5.0
1891,155,AUT,2012,12,-1.0
1892,156,AUT,2013,1,-1.0
1893,157,AUT,2013,2,-2.0
1894,158,AUT,2013,3,2.0
1895,159,AUT,2013,4,9.0
1896,160,AUT,2013,5,12.0
1897,161,AUT,2013,6,16.0
1898,162,AUT,2013,7,20.0
1899,163,AUT,2013,8,19.0
1900,164,AUT,2013,9,14.0
1901,165,AUT,2013,10,10.0
1902,166,AUT,2013,11,4.0
1903,167,AUT,2013,12,1.0
1904,168,AUT,2014,1,1.0
1905,169,AUT,2014,2,3.0
1906,170,AUT,2014,3,7.0
1907,171,AUT,2014,4,10.0
1908,172,AUT,2014,5,12.0
1909,173,AUT,2014,6,17.0
1910,174,AUT,2014,7,18.0
1911,175,AUT,2014,8,16.0
1912,176,AUT,2014,9,14.0
1913,177,AUT,2014,10,11.0
1914,178,AUT,2014,11,7.0
1915,179,AUT,2014,12,1.0
1916,180,AUT,2015,1,1.0
1917,181,AUT,2015,2,0.0
1918,182,AUT,2015,3,5.0
1919,183,AUT,2015,4,9.0
1920,184,AUT,2015,5,13.0
1921,185,AUT,2015,6,17.0
1922,186,AUT,2015,7,21.0
1923,187,AUT,2015,8,20.0
1924,188,AUT,2015,9,13.0
1925,189,AUT,2015,10,9.0
1926,190,AUT,2015,11,6.0
1927,191,AUT,2015,12,3.0
1928,192,AUT,2016,1,-1.0
1929,193,AUT,2016,2,3.0
1930,194,AUT,2016,3,4.0
1931,195,AUT,2016,4,9.0
1932,196,AUT,2016,5,13.0
1933,197,AUT,2016,6,17.0
1934,198,AUT,2016,7,19.0
1935,199,AUT,2016,8,18.0
1936,200,AUT,2016,9,16.0
1937,201,AUT,2016,10,8.0
1938,202,AUT,2016,11,4.0
1939,203,AUT,2016,12,0.0
1940,204,AUT,2017,1,-5.0
1941,205,AUT,2017,2,2.0
1942,206,AUT,2017,3,7.0
1943,207,AUT,2017,4,8.0
1944,208,AUT,2017,5,14.0
1945,209,AUT,2017,6,19.0
1946,210,AUT,2017,7,19.0
1947,211,AUT,2017,8,20.0
1948,212,AUT,2017,9,12.0
1949,213,AUT,2017,10,10.0
1950,214,AUT,2017,11,3.0
1951,215,AUT,2017,12,0.0
1952,216,AUT,2018,1,2.0
1953,217,AUT,2018,2,-3.0
1954,218,AUT,2018,3,2.0
1955,219,AUT,2018,4,13.0
1956,220,AUT,2018,5,15.0
1957,221,AUT,2018,6,18.0
1958,222,AUT,2018,7,19.0
1959,223,AUT,2018,8,20.0
1960,224,AUT,2018,9,16.0
1961,225,AUT,2018,10,11.0
1962,226,AUT,2018,11,5.0
1963,227,AUT,2018,12,1.0
1964,228,AUT,2019,1,-2.0
1965,229,AUT,2019,2,2.0
1966,230,AUT,2019,3,6.0
1967,231,AUT,2019,4,9.0
1968,232,AUT,2019,5,10.0
1969,233,AUT,2019,6,20.0
1970,234,AUT,2019,7,20.0
1971,235,AUT,2019,8,19.0
1972,236,AUT,2019,9,14.0
1973,237,AUT,2019,10,11.0
1974,238,AUT,2019,11,5.0
1975,239,AUT,2019,12,1.0
1976,240,AUT,2020,1,0.0
1977,241,AUT,2020,2,4.0
1978,242,AUT,2020,3,5.0
1979,243,AUT,2020,4,10.0
1980,244,AUT,2020,5,12.0
1981,245,AUT,2020,6,16.0
1982,246,AUT,2020,7,18.0
1983,247,AUT,2020,8,19.0
1984,248,AUT,2020,9,15.0
1985,249,AUT,2020,10,9.0
1986,250,AUT,2020,11,4.0
1987,251,AUT,2020,12,1.0
1988,252,AUT,2021,1,-2.0
1989,253,AUT,2021,2,2.0
1990,254,AUT,2021,3,4.0
1991,255,AUT,2021,4,6.0
1992,256,AUT,2021,5,11.0
1993,257,AUT,2021,6,19.0
1994,258,AUT,2021,7,19.0
1995,259,AUT,2021,8,17.0
1996,260,AUT,2021,9,15.0
1997,261,AUT,2021,10,9.0
1998,262,AUT,2021,11,4.0
1999,263,AUT,2021,12,0.0
2000,264,AUT,2022,1,0.0
2001,265,AUT,2022,2,3.0
2002,266,AUT,2022,3,4.0
2003,267,AUT,2022,4,8.0
2004,268,AUT,2022,5,15.0
2005,269,AUT,2022,6,19.0
2006,270,AUT,2022,7,20.0
2007,271,AUT,2022,8,20.0
2008,272,AUT,2022,9,13.0
2009,273,AUT,2022,10,12.0
2010,274,AUT,2022,11,5.0
2011,275,AUT,2022,12,1.0
2012,276,AUT,2023,1,1.0
2013,277,AUT,2023,2,2.0
2014,278,AUT,2023,3,6.0
2015,279,AUT,2023,4,7.0
2016,280,AUT,2023,5,13.0
2017,281,AUT,2023,6,18.0
2018,282,AUT,2023,7,20.0
2019,283,AUT,2023,8,19.0
2020,284,AUT,2023,9,17.0
0,285,BEL,2020,10,12.0
1,286,BEL,2020,11,9.0
2,287,BEL,2020,12,6.0
3,288,BEL,2021,1,3.0
4,289,BEL,2021,2,5.0
5,290,BEL,2021,3,7.0
6,291,BEL,2021,4,7.0
7,292,BEL,2021,5,12.0
8,293,BEL,2021,6,19.0
9,294,BEL,2021,7,18.0
10,295,BEL,2021,8,17.0
11,296,BEL,2021,9,16.0
12,297,BEL,2021,10,12.0
13,298,BEL,2021,11,7.0
14,299,BEL,2021,12,6.0
15,300,BEL,2022,1,5.0
16,301,BEL,2022,2,7.0
17,302,BEL,2022,3,8.0
18,303,BEL,2022,4,10.0
19,304,BEL,2022,5,15.0
20,305,BEL,2022,6,18.0
21,306,BEL,2022,7,20.0
22,307,BEL,2022,8,21.0
23,308,BEL,2022,9,15.0
24,309,BEL,2022,10,14.0
25,310,BEL,2022,11,9.0
26,311,BEL,2022,12,4.0
27,312,BEL,2023,1,6.0
28,313,BEL,2023,2,6.0
29,314,BEL,2023,3,8.0
30,315,BEL,2023,4,9.0
31,316,BEL,2023,5,14.0
32,317,BEL,2023,6,20.0
33,318,BEL,2023,7,19.0
34,319,BEL,2023,8,18.0
35,320,BEL,2023,9,18.0
1701,321,HRV,2000,1,2.0
1702,322,HRV,2000,2,6.0
1703,323,HRV,2000,3,8.0
1704,324,HRV,2000,4,14.0
1705,325,HRV,2000,5,18.0
1706,326,HRV,2000,6,22.0
1707,327,HRV,2000,7,21.0
1708,328,HRV,2000,8,24.0
