Country,Date,Population
AUT,2008,8321496.0
AUT,2014,8546356.0
AUT,2017,8797566.0
AUT,2021,8955797.0
AUT,2016,8736668.0
AUT,2015,8642699.0
AUT,2010,8363404.0
AUT,2009,8343323.0
AUT,2020,8916864.0
AUT,2022,9042528.0
AUT,2013,8479823.0
AUT,2018,8840521.0
AUT,2019,8879920.0
AUT,2012,8429991.0
AUT,2011,8391643.0
BEL,2011,11038264.0
BEL,2020,11538604.0
BEL,2018,11427054.0
BEL,2019,11488980.0
BEL,2021,11592952.0
BEL,2017,11375158.0
BEL,2012,11106932.0
BEL,2014,11209057.0
BEL,2009,10796493.0
BEL,2013,11159407.0
BEL,2010,10895586.0
BEL,2016,11331422.0
BEL,2008,10709973.0
BEL,2015,11274196.0
BEL,2022,11669446.0
BGR,2021,6877743.0
BGR,2012,7305888.0
BGR,2010,7395599.0
BGR,2017,7075947.0
BGR,2014,7223938.0
BGR,2013,7265115.0
BGR,2015,7177991.0
BGR,2016,7127822.0
BGR,2022,6465097.0
BGR,2011,7348328.0
BGR,2018,7025037.0
BGR,2019,6975761.0
BGR,2009,7444443.0
BGR,2008,7492561.0
BGR,2020,6934015.0
CYP,2015,1187280.0
CYP,2011,1145086.0
CYP,2013,1166968.0
CYP,2018,1218831.0
CYP,2017,1208523.0
CYP,2019,1228836.0
CYP,2010,1129686.0
CYP,2008,1092390.0
CYP,2020,1237537.0
CYP,2012,1156556.0
CYP,2022,1251488.0
CYP,2021,1244188.0
CYP,2016,1197881.0
CYP,2014,1176995.0
CYP,2009,1110974.0
CZE,2021,10505772.0
CZE,2011,10496088.0
CZE,2012,10510785.0
CZE,2015,10546059.0
CZE,2020,10697858.0
CZE,2019,10671870.0
CZE,2013,10514272.0
CZE,2014,10525347.0
CZE,2022,10526073.0
CZE,2010,10474410.0
CZE,2009,10443936.0
CZE,2016,10566332.0
CZE,2017,10594438.0
CZE,2018,10629928.0
CZE,2008,10384603.0
DEU,2017,82657002.0
DEU,2008,82110097.0
DEU,2018,82905782.0
DEU,2011,80274983.0
DEU,2021,83196078.0
DEU,2012,80425823.0
DEU,2016,82348669.0
DEU,2013,80645605.0
DEU,2015,81686611.0
DEU,2019,83092962.0
DEU,2014,80982500.0
DEU,2022,84079811.0
DEU,2020,83160871.0
DEU,2010,81776930.0
DEU,2009,81902307.0
DNK,2019,5814422.0
DNK,2012,5591572.0
DNK,2018,5793636.0
DNK,2013,5614932.0
DNK,2008,5493621.0
DNK,2021,5856733.0
DNK,2010,5547683.0
DNK,2017,5764980.0
DNK,2022,5903037.0
DNK,2020,5831404.0
DNK,2009,5523095.0
DNK,2014,5643475.0
DNK,2015,5683483.0
DNK,2016,5728010.0
DNK,2011,5570572.0
ESP,2013,46620045.0
ESP,2017,46593236.0
ESP,2012,46773055.0
ESP,2018,46797754.0
ESP,2015,46444832.0
ESP,2014,46480882.0
ESP,2016,46484062.0
ESP,2019,47134837.0
ESP,2010,46576897.0
ESP,2008,45954106.0
ESP,2020,47365655.0
ESP,2011,46742697.0
ESP,2022,47615034.0
ESP,2009,46362946.0
ESP,2021,47415750.0
EST,2019,1326898.0
EST,2017,1317384.0
EST,2010,1331475.0
EST,2020,1329522.0
EST,2011,1327439.0
EST,2021,1330932.0
EST,2014,1314545.0
EST,2013,1317997.0
EST,2018,1321977.0
EST,2009,1334515.0
EST,2022,1344768.0
EST,2008,1337090.0
EST,2012,1322696.0
EST,2015,1315407.0
EST,2016,1315790.0
FIN,2013,5438972.0
FIN,2014,5461512.0
FIN,2021,5541017.0
FIN,2009,5338871.0
FIN,2022,5556880.0
FIN,2008,5313399.0
FIN,2015,5479531.0
FIN,2017,5508214.0
FIN,2016,5495303.0
FIN,2010,5363352.0
FIN,2019,5521606.0
FIN,2018,5515525.0
FIN,2012,5413971.0
FIN,2011,5388272.0
FIN,2020,5529543.0
FRA,2013,66002289.0
FRA,2016,66724104.0
FRA,2018,67158348.0
FRA,2021,67749632.0
FRA,2011,65345233.0
FRA,2020,67571107.0
FRA,2009,64710879.0
FRA,2022,67935660.0
FRA,2008,64379696.0
FRA,2017,66918020.0
FRA,2012,65662240.0
FRA,2019,67388001.0
FRA,2015,66548272.0
FRA,2010,65030575.0
FRA,2014,66312067.0
GRC,2022,10566531.0
GRC,2008,11077841.0
GRC,2012,11045011.0
GRC,2018,10732882.0
GRC,2019,10721582.0
GRC,2016,10775971.0
GRC,2014,10892413.0
GRC,2013,10965211.0
GRC,2017,10754679.0
GRC,2009,11107017.0
GRC,2020,10698599.0
GRC,2021,10641221.0
GRC,2011,11104899.0
GRC,2010,11121341.0
GRC,2015,10820883.0
HRV,2011,4280622.0
HRV,2013,4255689.0
HRV,2017,4124531.0
HRV,2020,4047680.0
HRV,2010,4295427.0
HRV,2008,4309705.0
HRV,2022,3854000.0
HRV,2012,4267558.0
HRV,2018,4087843.0
HRV,2021,3879000.0
HRV,2019,4065253.0
HRV,2009,4305181.0
HRV,2016,4174349.0
HRV,2014,4238389.0
HRV,2015,4203604.0
HUN,2018,9775564.0
HUN,2022,9683505.0
HUN,2021,9709891.0
HUN,2016,9814023.0
HUN,2017,9787966.0
HUN,2020,9750149.0
HUN,2019,9771141.0
HUN,2015,9843028.0
HUN,2009,10022650.0
HUN,2011,9971727.0
HUN,2014,9866468.0
HUN,2012,9920362.0
HUN,2013,9893082.0
HUN,2010,10000023.0
HUN,2008,10038188.0
IRL,2015,4701957.0
IRL,2016,4755335.0
IRL,2014,4657740.0
IRL,2009,4535375.0
IRL,2013,4623816.0
IRL,2017,4807388.0
IRL,2020,4985382.0
IRL,2021,5033165.0
IRL,2010,4560155.0
IRL,2022,5086988.0
IRL,2012,4599533.0
IRL,2018,4867316.0
IRL,2019,4934340.0
IRL,2011,4580084.0
IRL,2008,4489544.0
ITA,2010,59277417.0
ITA,2020,59438851.0
ITA,2017,60536709.0
ITA,2012,59539717.0
ITA,2009,59095365.0
ITA,2018,60421760.0
ITA,2019,59729081.0
ITA,2011,59379449.0
ITA,2021,59109668.0
ITA,2013,60233948.0
ITA,2015,60730582.0
ITA,2022,58856847.0
ITA,2008,58826731.0
ITA,2016,60627498.0
ITA,2014,60789140.0
LTU,2010,3097282.0
LTU,2022,2833000.0
LTU,2012,2987773.0
LTU,2013,2957689.0
LTU,2019,2794137.0
LTU,2020,2794885.0
LTU,2018,2801543.0
LTU,2009,3162916.0
LTU,2016,2868231.0
LTU,2021,2800839.0
LTU,2008,3198231.0
LTU,2015,2904910.0
LTU,2011,3028115.0
LTU,2014,2932367.0
LTU,2017,2828403.0
LUX,2010,506953.0
LUX,2008,488650.0
LUX,2020,630419.0
LUX,2012,530946.0
LUX,2022,650774.0
LUX,2011,518347.0
LUX,2018,607950.0
LUX,2013,543360.0
LUX,2019,620001.0
LUX,2009,497783.0
LUX,2016,582014.0
LUX,2021,640064.0
LUX,2015,569604.0
LUX,2017,596336.0
LUX,2014,556319.0
LVA,2022,1883379.0
LVA,2018,1927174.0
LVA,2010,2097555.0
LVA,2019,1913822.0
LVA,2012,2034319.0
LVA,2015,1977527.0
LVA,2008,2177322.0
LVA,2020,1900449.0
LVA,2021,1884490.0
LVA,2009,2141669.0
LVA,2013,2012647.0
LVA,2017,1942248.0
LVA,2011,2059709.0
LVA,2016,1959537.0
LVA,2014,1993782.0
MLT,2012,420028.0
MLT,2011,416268.0
MLT,2021,518536.0
MLT,2015,445053.0
MLT,2013,425967.0
MLT,2019,504062.0
MLT,2010,414508.0
MLT,2014,434558.0
MLT,2008,409379.0
MLT,2022,523417.0
MLT,2017,467999.0
MLT,2009,412477.0
MLT,2020,515332.0
MLT,2018,484630.0
MLT,2016,455356.0
NLD,2010,16615394.0
NLD,2019,17344874.0
NLD,2022,17703090.0
NLD,2009,16530388.0
NLD,2020,17441500.0
NLD,2021,17533044.0
NLD,2008,16445593.0
NLD,2011,16693074.0
NLD,2018,17231624.0
NLD,2015,16939923.0
NLD,2012,16754962.0
NLD,2014,16865008.0
NLD,2016,17030314.0
NLD,2017,17131296.0
NLD,2013,16804432.0
POL,2011,38063255.0
POL,2012,38063164.0
POL,2020,37899070.0
POL,2017,37974826.0
POL,2016,37970087.0
POL,2018,37974750.0
POL,2021,37747124.0
POL,2008,38125759.0
POL,2014,38011735.0
POL,2015,37986412.0
POL,2022,37561599.0
POL,2013,38040196.0
POL,2010,38042794.0
POL,2009,38151603.0
POL,2019,37965475.0
PRT,2019,10286263.0
PRT,2017,10300300.0
PRT,2015,10358076.0
PRT,2016,10325452.0
PRT,2009,10568247.0
PRT,2011,10557560.0
PRT,2022,10379007.0
PRT,2021,10325147.0
PRT,2020,10297081.0
PRT,2013,10457295.0
PRT,2012,10514844.0
PRT,2008,10558177.0
PRT,2014,10401062.0
PRT,2018,10283822.0
PRT,2010,10573100.0
ROU,2019,19371648.0
ROU,2013,19983693.0
ROU,2018,19473970.0
ROU,2021,19119880.0
ROU,2015,19815616.0
ROU,2008,20537875.0
ROU,2014,19908979.0
ROU,2016,19702267.0
ROU,2009,20367487.0
ROU,2010,20246871.0
ROU,2022,18956666.0
ROU,2011,20147528.0
ROU,2017,19588715.0
ROU,2020,19265250.0
ROU,2012,20058035.0
SVK,2018,5446771.0
SVK,2008,5379233.0
SVK,2021,5447247.0
SVK,2012,5407579.0
SVK,2009,5386406.0
SVK,2022,5431752.0
SVK,2017,5439232.0
SVK,2016,5430798.0
SVK,2015,5423801.0
SVK,2013,5413393.0
SVK,2020,5458827.0
SVK,2014,5418649.0
SVK,2011,5398384.0
SVK,2019,5454147.0
SVK,2010,5391428.0
SVN,2011,2052843.0
SVN,2010,2048583.0
SVN,2018,2073894.0
SVN,2015,2063531.0
SVN,2009,2039669.0
SVN,2021,2108079.0
SVN,2012,2057159.0
SVN,2017,2066388.0
SVN,2016,2065042.0
SVN,2019,2088385.0
SVN,2013,2059953.0
SVN,2020,2102419.0
SVN,2022,2108732.0
SVN,2008,2021316.0
SVN,2014,2061980.0
SWE,2015,9799186.0
SWE,2016,9923085.0
SWE,2011,9449213.0
SWE,2018,10175214.0
SWE,2008,9219637.0
SWE,2021,10415811.0
SWE,2013,9600379.0
SWE,2009,9298515.0
SWE,2020,10353442.0
