index,Date,Country,Temperature
1736,2000-01,AUT,-3.0
1737,2000-02,AUT,2.0
1738,2000-03,AUT,4.0
1739,2000-04,AUT,10.0
1740,2000-05,AUT,14.0
1741,2000-06,AUT,17.0
1742,2000-07,AUT,16.0
1743,2000-08,AUT,19.0
1744,2000-09,AUT,14.0
1745,2000-10,AUT,11.0
1746,2000-11,AUT,5.0
1747,2000-12,AUT,1.0
1748,2001-01,AUT,-1.0
1749,2001-02,AUT,1.0
1750,2001-03,AUT,6.0
1751,2001-04,AUT,7.0
1752,2001-05,AUT,15.0
1753,2001-06,AUT,15.0
1754,2001-07,AUT,18.0
1755,2001-08,AUT,19.0
1756,2001-09,AUT,11.0
1757,2001-10,AUT,12.0
1758,2001-11,AUT,2.0
1759,2001-12,AUT,-4.0
1760,2002-01,AUT,-2.0
1761,2002-02,AUT,4.0
1762,2002-03,AUT,5.0
1763,2002-04,AUT,8.0
1764,2002-05,AUT,14.0
1765,2002-06,AUT,18.0
1766,2002-07,AUT,18.0
1767,2002-08,AUT,18.0
1768,2002-09,AUT,12.0
1769,2002-10,AUT,8.0
1770,2002-11,AUT,6.0
1771,2002-12,AUT,0.0
1772,2003-01,AUT,-3.0
1773,2003-02,AUT,-4.0
1774,2003-03,AUT,5.0
1775,2003-04,AUT,7.0
1776,2003-05,AUT,15.0
1777,2003-06,AUT,20.0
1778,2003-07,AUT,19.0
1779,2003-08,AUT,21.0
1780,2003-09,AUT,13.0
1781,2003-10,AUT,6.0
1782,2003-11,AUT,5.0
1783,2003-12,AUT,0.0
1784,2004-01,AUT,-3.0
1785,2004-02,AUT,1.0
1786,2004-03,AUT,2.0
1787,2004-04,AUT,9.0
1788,2004-05,AUT,11.0
1789,2004-06,AUT,15.0
1790,2004-07,AUT,17.0
1791,2004-08,AUT,18.0
1792,2004-09,AUT,14.0
1793,2004-10,AUT,10.0
1794,2004-11,AUT,3.0
1795,2004-12,AUT,-1.0
1796,2005-01,AUT,-2.0
1797,2005-02,AUT,-3.0
1798,2005-03,AUT,2.0
1799,2005-04,AUT,8.0
1800,2005-05,AUT,13.0
1801,2005-06,AUT,16.0
1802,2005-07,AUT,18.0
1803,2005-08,AUT,16.0
1804,2005-09,AUT,14.0
1805,2005-10,AUT,10.0
1806,2005-11,AUT,2.0
1807,2005-12,AUT,-3.0
1808,2006-01,AUT,-5.0
1809,2006-02,AUT,-2.0
1810,2006-03,AUT,1.0
1811,2006-04,AUT,9.0
1812,2006-05,AUT,12.0
1813,2006-06,AUT,16.0
1814,2006-07,AUT,21.0
1815,2006-08,AUT,15.0
1816,2006-09,AUT,16.0
1817,2006-10,AUT,11.0
1818,2006-11,AUT,5.0
1819,2006-12,AUT,1.0
1820,2007-01,AUT,3.0
1821,2007-02,AUT,3.0
1822,2007-03,AUT,5.0
1823,2007-04,AUT,11.0
1824,2007-05,AUT,14.0
1825,2007-06,AUT,18.0
1826,2007-07,AUT,19.0
1827,2007-08,AUT,17.0
1828,2007-09,AUT,12.0
1829,2007-10,AUT,8.0
1830,2007-11,AUT,2.0
1831,2007-12,AUT,-1.0
1832,2008-01,AUT,1.0
1833,2008-02,AUT,3.0
1834,2008-03,AUT,4.0
1835,2008-04,AUT,8.0
1836,2008-05,AUT,14.0
1837,2008-06,AUT,17.0
1838,2008-07,AUT,18.0
1839,2008-08,AUT,18.0
1840,2008-09,AUT,13.0
1841,2008-10,AUT,10.0
1842,2008-11,AUT,4.0
1843,2008-12,AUT,0.0
