geo\TIME_PERIOD,indic,Date,Value
AL,IS-CNG-TJ,2008-01,
AT,IS-CNG-TJ,2008-01,41460.0
BE,IS-CNG-TJ,2008-01,70311.0
BG,IS-CNG-TJ,2008-01,18585.0
CY,IS-CNG-TJ,2008-01,0.0
CZ,IS-CNG-TJ,2008-01,47394.0
DE,IS-CNG-TJ,2008-01,404572.0
DK,IS-CNG-TJ,2008-01,24218.0
EE,IS-CNG-TJ,2008-01,3539.0
EL,IS-CNG-TJ,2008-01,16246.0
ES,IS-CNG-TJ,2008-01,159409.0
EU27_2020,IS-CNG-TJ,2008-01,2012060.0
FI,IS-CNG-TJ,2008-01,19192.0
FR,IS-CNG-TJ,2008-01,247996.0
HR,IS-CNG-TJ,2008-01,11085.0
HU,IS-CNG-TJ,2008-01,71744.0
IE,IS-CNG-TJ,2008-01,20473.0
IS,IS-CNG-TJ,2008-01,0.0
IT,IS-CNG-TJ,2008-01,400889.0
LT,IS-CNG-TJ,2008-01,15517.0
LU,IS-CNG-TJ,2008-01,5900.0
LV,IS-CNG-TJ,2008-01,8997.0
ME,IS-CNG-TJ,2008-01,
MK,IS-CNG-TJ,2008-01,
MT,IS-CNG-TJ,2008-01,0.0
NL,IS-CNG-TJ,2008-01,229443.0
NO,IS-CNG-TJ,2008-01,29053.0
PL,IS-CNG-TJ,2008-01,67054.0
PT,IS-CNG-TJ,2008-01,18859.0
RO,IS-CNG-TJ,2008-01,66938.0
RS,IS-CNG-TJ,2008-01,
SE,IS-CNG-TJ,2008-01,4896.0
SI,IS-CNG-TJ,2008-01,4543.0
SK,IS-CNG-TJ,2008-01,32800.0
TR,IS-CNG-TJ,2008-01,140225.0
UK,IS-CNG-TJ,2008-01,454430.0
XK,IS-CNG-TJ,2008-01,
AL,IS-CNG-TJ,2008-02,
AT,IS-CNG-TJ,2008-02,36360.0
BE,IS-CNG-TJ,2008-02,60862.0
BG,IS-CNG-TJ,2008-02,15746.0
CY,IS-CNG-TJ,2008-02,0.0
CZ,IS-CNG-TJ,2008-02,40149.0
DE,IS-CNG-TJ,2008-02,337862.0
DK,IS-CNG-TJ,2008-02,20636.0
EE,IS-CNG-TJ,2008-02,3526.0
EL,IS-CNG-TJ,2008-02,15292.0
ES,IS-CNG-TJ,2008-02,154971.0
EU27_2020,IS-CNG-TJ,2008-02,1754306.0
FI,IS-CNG-TJ,2008-02,17197.0
FR,IS-CNG-TJ,2008-02,223965.0
HR,IS-CNG-TJ,2008-02,11600.0
HU,IS-CNG-TJ,2008-02,59505.0
IE,IS-CNG-TJ,2008-02,19761.0
IS,IS-CNG-TJ,2008-02,0.0
IT,IS-CNG-TJ,2008-02,374828.0
LT,IS-CNG-TJ,2008-02,13731.0
LU,IS-CNG-TJ,2008-02,5450.0
LV,IS-CNG-TJ,2008-02,7407.0
ME,IS-CNG-TJ,2008-02,
MK,IS-CNG-TJ,2008-02,
MT,IS-CNG-TJ,2008-02,0.0
NL,IS-CNG-TJ,2008-02,172730.0
NO,IS-CNG-TJ,2008-02,-1403.0
PL,IS-CNG-TJ,2008-02,60202.0
PT,IS-CNG-TJ,2008-02,16135.0
RO,IS-CNG-TJ,2008-02,51604.0
RS,IS-CNG-TJ,2008-02,
SE,IS-CNG-TJ,2008-02,4302.0
SI,IS-CNG-TJ,2008-02,4127.0
SK,IS-CNG-TJ,2008-02,26358.0
TR,IS-CNG-TJ,2008-02,141996.0
UK,IS-CNG-TJ,2008-02,421590.0
XK,IS-CNG-TJ,2008-02,
AL,IS-CNG-TJ,2008-03,
AT,IS-CNG-TJ,2008-03,34316.0
BE,IS-CNG-TJ,2008-03,59073.0
BG,IS-CNG-TJ,2008-03,13978.0
CY,IS-CNG-TJ,2008-03,0.0
CZ,IS-CNG-TJ,2008-03,40354.0
DE,IS-CNG-TJ,2008-03,388146.0
DK,IS-CNG-TJ,2008-03,21495.0
EE,IS-CNG-TJ,2008-03,4508.0
EL,IS-CNG-TJ,2008-03,15040.0
ES,IS-CNG-TJ,2008-03,141101.0
EU27_2020,IS-CNG-TJ,2008-03,1736092.0
FI,IS-CNG-TJ,2008-03,17875.0
