geo\TIME_PERIOD,indic,Date,Value
AL,IS-ICO-T,2008-01,
AT,IS-ICO-T,2008-01,605.0
BE,IS-ICO-T,2008-01,2958.0
BG,IS-ICO-T,2008-01,621.0
CY,IS-ICO-T,2008-01,0.0
CZ,IS-ICO-T,2008-01,573.0
DE,IS-ICO-T,2008-01,9487.0
DK,IS-ICO-T,2008-01,171.0
EE,IS-ICO-T,2008-01,0.0
EL,IS-ICO-T,2008-01,1772.0
ES,IS-ICO-T,2008-01,5165.0
EU27_2020,IS-ICO-T,2008-01,
FI,IS-ICO-T,2008-01,1085.0
FR,IS-ICO-T,2008-01,7492.0
HR,IS-ICO-T,2008-01,517.0
HU,IS-ICO-T,2008-01,511.0
IE,IS-ICO-T,2008-01,250.0
IS,IS-ICO-T,2008-01,0.0
IT,IS-ICO-T,2008-01,7535.0
LT,IS-ICO-T,2008-01,510.0
LU,IS-ICO-T,2008-01,0.0
LV,IS-ICO-T,2008-01,0.0
MK,IS-ICO-T,2008-01,
MT,IS-ICO-T,2008-01,
NL,IS-ICO-T,2008-01,4161.0
NO,IS-ICO-T,2008-01,132.0
PL,IS-ICO-T,2008-01,1749.0
PT,IS-ICO-T,2008-01,1120.0
RO,IS-ICO-T,2008-01,674.0
RS,IS-ICO-T,2008-01,
SE,IS-ICO-T,2008-01,1914.0
SI,IS-ICO-T,2008-01,0.0
SK,IS-ICO-T,2008-01,512.0
TR,IS-ICO-T,2008-01,2190.0
UK,IS-ICO-T,2008-01,3526.0
AL,IS-ICO-T,2008-02,
AT,IS-ICO-T,2008-02,630.0
BE,IS-ICO-T,2008-02,2775.0
BG,IS-ICO-T,2008-02,403.0
CY,IS-ICO-T,2008-02,0.0
CZ,IS-ICO-T,2008-02,627.0
DE,IS-ICO-T,2008-02,7569.0
DK,IS-ICO-T,2008-02,162.0
EE,IS-ICO-T,2008-02,0.0
EL,IS-ICO-T,2008-02,1657.0
ES,IS-ICO-T,2008-02,4460.0
EU27_2020,IS-ICO-T,2008-02,
FI,IS-ICO-T,2008-02,929.0
FR,IS-ICO-T,2008-02,5944.0
HR,IS-ICO-T,2008-02,309.0
HU,IS-ICO-T,2008-02,550.0
IE,IS-ICO-T,2008-02,166.0
IS,IS-ICO-T,2008-02,0.0
IT,IS-ICO-T,2008-02,6310.0
LT,IS-ICO-T,2008-02,530.0
LU,IS-ICO-T,2008-02,0.0
LV,IS-ICO-T,2008-02,0.0
MK,IS-ICO-T,2008-02,
MT,IS-ICO-T,2008-02,
NL,IS-ICO-T,2008-02,4095.0
NO,IS-ICO-T,2008-02,51.0
PL,IS-ICO-T,2008-02,1573.0
PT,IS-ICO-T,2008-02,1019.0
RO,IS-ICO-T,2008-02,623.0
RS,IS-ICO-T,2008-02,
SE,IS-ICO-T,2008-02,1587.0
SI,IS-ICO-T,2008-02,0.0
SK,IS-ICO-T,2008-02,479.0
TR,IS-ICO-T,2008-02,1387.0
UK,IS-ICO-T,2008-02,3602.0
AL,IS-ICO-T,2008-03,
AT,IS-ICO-T,2008-03,648.0
BE,IS-ICO-T,2008-03,2786.0
BG,IS-ICO-T,2008-03,547.0
CY,IS-ICO-T,2008-03,0.0
CZ,IS-ICO-T,2008-03,571.0
DE,IS-ICO-T,2008-03,9812.0
DK,IS-ICO-T,2008-03,241.0
EE,IS-ICO-T,2008-03,0.0
EL,IS-ICO-T,2008-03,1349.0
ES,IS-ICO-T,2008-03,4394.0
EU27_2020,IS-ICO-T,2008-03,
FI,IS-ICO-T,2008-03,833.0
FR,IS-ICO-T,2008-03,6131.0
HR,IS-ICO-T,2008-03,119.0
HU,IS-ICO-T,2008-03,556.0
IE,IS-ICO-T,2008-03,321.0
IS,IS-ICO-T,2008-03,0.0
IT,IS-ICO-T,2008-03,7025.0
LT,IS-ICO-T,2008-03,959.0
LU,IS-ICO-T,2008-03,0.0
LV,IS-ICO-T,2008-03,0.0
MK,IS-ICO-T,2008-03,
MT,IS-ICO-T,2008-03,
NL,IS-ICO-T,2008-03,4701.0
NO,IS-ICO-T,2008-03,0.0
PL,IS-ICO-T,2008-03,2067.0
PT,IS-ICO-T,2008-03,1017.0
RO,IS-ICO-T,2008-03,709.0
RS,IS-ICO-T,2008-03,
SE,IS-ICO-T,2008-03,1831.0
SI,IS-ICO-T,2008-03,0.0
SK,IS-ICO-T,2008-03,522.0
TR,IS-ICO-T,2008-03,1820.0
UK,IS-ICO-T,2008-03,4859.0
AL,IS-ICO-T,2008-04,
AT,IS-ICO-T,2008-04,627.0
BE,IS-ICO-T,2008-04,2807.0
BG,IS-ICO-T,2008-04,617.0
CY,IS-ICO-T,2008-04,0.0
CZ,IS-ICO-T,2008-04,723.0
DE,IS-ICO-T,2008-04,8878.0
DK,IS-ICO-T,2008-04,85.0
EE,IS-ICO-T,2008-04,0.0
EL,IS-ICO-T,2008-04,1750.0
ES,IS-ICO-T,2008-04,5057.0
EU27_2020,IS-ICO-T,2008-04,
FI,IS-ICO-T,2008-04,990.0
FR,IS-ICO-T,2008-04,6400.0
HR,IS-ICO-T,2008-04,315.0
HU,IS-ICO-T,2008-04,524.0
IE,IS-ICO-T,2008-04,252.0
IS,IS-ICO-T,2008-04,0.0
IT,IS-ICO-T,2008-04,6829.0
LT,IS-ICO-T,2008-04,763.0
LU,IS-ICO-T,2008-04,0.0
LV,IS-ICO-T,2008-04,0.0
MK,IS-ICO-T,2008-04,
MT,IS-ICO-T,2008-04,
NL,IS-ICO-T,2008-04,3752.0
NO,IS-ICO-T,2008-04,88.0
PL,IS-ICO-T,2008-04,1612.0
PT,IS-ICO-T,2008-04,1138.0
RO,IS-ICO-T,2008-04,667.0
