geo\TIME_PERIOD,indic,Date,Value
AL,IS-IDJF-T,2008-01,
AT,IS-IDJF-T,2008-01,62.0
BE,IS-IDJF-T,2008-01,92.0
BG,IS-IDJF-T,2008-01,13.0
CY,IS-IDJF-T,2008-01,11.0
CZ,IS-IDJF-T,2008-01,28.0
DE,IS-IDJF-T,2008-01,710.0
DK,IS-IDJF-T,2008-01,40.0
EE,IS-IDJF-T,2008-01,5.0
EL,IS-IDJF-T,2008-01,49.0
ES,IS-IDJF-T,2008-01,436.0
EU27_2020,IS-IDJF-T,2008-01,
FI,IS-IDJF-T,2008-01,67.0
FR,IS-IDJF-T,2008-01,629.0
HR,IS-IDJF-T,2008-01,8.0
HU,IS-IDJF-T,2008-01,20.0
IE,IS-IDJF-T,2008-01,86.0
IS,IS-IDJF-T,2008-01,0.0
IT,IS-IDJF-T,2008-01,269.0
LT,IS-IDJF-T,2008-01,5.0
LU,IS-IDJF-T,2008-01,27.0
LV,IS-IDJF-T,2008-01,7.0
ME,IS-IDJF-T,2008-01,
MK,IS-IDJF-T,2008-01,
MT,IS-IDJF-T,2008-01,
NL,IS-IDJF-T,2008-01,298.0
NO,IS-IDJF-T,2008-01,84.0
PL,IS-IDJF-T,2008-01,31.0
PT,IS-IDJF-T,2008-01,74.0
RO,IS-IDJF-T,2008-01,13.0
RS,IS-IDJF-T,2008-01,
SE,IS-IDJF-T,2008-01,60.0
SI,IS-IDJF-T,2008-01,3.0
SK,IS-IDJF-T,2008-01,9.0
TR,IS-IDJF-T,2008-01,140.0
UK,IS-IDJF-T,2008-01,964.0
AL,IS-IDJF-T,2008-02,
AT,IS-IDJF-T,2008-02,60.0
BE,IS-IDJF-T,2008-02,80.0
BG,IS-IDJF-T,2008-02,11.0
CY,IS-IDJF-T,2008-02,6.0
CZ,IS-IDJF-T,2008-02,25.0
DE,IS-IDJF-T,2008-02,654.0
DK,IS-IDJF-T,2008-02,68.0
EE,IS-IDJF-T,2008-02,7.0
EL,IS-IDJF-T,2008-02,33.0
ES,IS-IDJF-T,2008-02,413.0
EU27_2020,IS-IDJF-T,2008-02,
FI,IS-IDJF-T,2008-02,67.0
FR,IS-IDJF-T,2008-02,606.0
HR,IS-IDJF-T,2008-02,8.0
HU,IS-IDJF-T,2008-02,21.0
IE,IS-IDJF-T,2008-02,87.0
IS,IS-IDJF-T,2008-02,0.0
IT,IS-IDJF-T,2008-02,237.0
LT,IS-IDJF-T,2008-02,6.0
LU,IS-IDJF-T,2008-02,28.0
LV,IS-IDJF-T,2008-02,6.0
ME,IS-IDJF-T,2008-02,
MK,IS-IDJF-T,2008-02,
MT,IS-IDJF-T,2008-02,
NL,IS-IDJF-T,2008-02,273.0
NO,IS-IDJF-T,2008-02,52.0
PL,IS-IDJF-T,2008-02,32.0
PT,IS-IDJF-T,2008-02,68.0
RO,IS-IDJF-T,2008-02,14.0
RS,IS-IDJF-T,2008-02,
SE,IS-IDJF-T,2008-02,75.0
SI,IS-IDJF-T,2008-02,2.0
SK,IS-IDJF-T,2008-02,3.0
TR,IS-IDJF-T,2008-02,103.0
UK,IS-IDJF-T,2008-02,777.0
AL,IS-IDJF-T,2008-03,
AT,IS-IDJF-T,2008-03,65.0
BE,IS-IDJF-T,2008-03,64.0
BG,IS-IDJF-T,2008-03,29.0
CY,IS-IDJF-T,2008-03,14.0
CZ,IS-IDJF-T,2008-03,30.0
DE,IS-IDJF-T,2008-03,721.0
DK,IS-IDJF-T,2008-03,44.0
EE,IS-IDJF-T,2008-03,0.0
EL,IS-IDJF-T,2008-03,94.0
ES,IS-IDJF-T,2008-03,474.0
EU27_2020,IS-IDJF-T,2008-03,
FI,IS-IDJF-T,2008-03,40.0
FR,IS-IDJF-T,2008-03,558.0
HR,IS-IDJF-T,2008-03,4.0
HU,IS-IDJF-T,2008-03,21.0
IE,IS-IDJF-T,2008-03,94.0
IS,IS-IDJF-T,2008-03,0.0
IT,IS-IDJF-T,2008-03,264.0
LT,IS-IDJF-T,2008-03,6.0
LU,IS-IDJF-T,2008-03,33.0
LV,IS-IDJF-T,2008-03,7.0
ME,IS-IDJF-T,2008-03,
MK,IS-IDJF-T,2008-03,
MT,IS-IDJF-T,2008-03,
NL,IS-IDJF-T,2008-03,290.0
NO,IS-IDJF-T,2008-03,69.0
PL,IS-IDJF-T,2008-03,37.0
PT,IS-IDJF-T,2008-03,83.0
RO,IS-IDJF-T,2008-03,19.0
RS,IS-IDJF-T,2008-03,
SE,IS-IDJF-T,2008-03,95.0
SI,IS-IDJF-T,2008-03,3.0
SK,IS-IDJF-T,2008-03,4.0
TR,IS-IDJF-T,2008-03,170.0
UK,IS-IDJF-T,2008-03,934.0
AL,IS-IDJF-T,2008-04,
AT,IS-IDJF-T,2008-04,56.0
BE,IS-IDJF-T,2008-04,71.0
BG,IS-IDJF-T,2008-04,12.0
CY,IS-IDJF-T,2008-04,11.0
CZ,IS-IDJF-T,2008-04,29.0
DE,IS-IDJF-T,2008-04,678.0
DK,IS-IDJF-T,2008-04,60.0
EE,IS-IDJF-T,2008-04,13.0
EL,IS-IDJF-T,2008-04,34.0
ES,IS-IDJF-T,2008-04,482.0
EU27_2020,IS-IDJF-T,2008-04,
FI,IS-IDJF-T,2008-04,64.0
FR,IS-IDJF-T,2008-04,691.0
HR,IS-IDJF-T,2008-04,3.0
HU,IS-IDJF-T,2008-04,22.0
IE,IS-IDJF-T,2008-04,79.0
IS,IS-IDJF-T,2008-04,0.0
IT,IS-IDJF-T,2008-04,241.0
LT,IS-IDJF-T,2008-04,7.0
LU,IS-IDJF-T,2008-04,31.0
LV,IS-IDJF-T,2008-04,7.0
ME,IS-IDJF-T,2008-04,
MK,IS-IDJF-T,2008-04,
MT,IS-IDJF-T,2008-04,
NL,IS-IDJF-T,2008-04,271.0
NO,IS-IDJF-T,2008-04,55.0
PL,IS-IDJF-T,2008-04,37.0
PT,IS-IDJF-T,2008-04,79.0
RO,IS-IDJF-T,2008-04,14.0
RS,IS-IDJF-T,2008-04,
SE,IS-IDJF-T,2008-04,80.0
SI,IS-IDJF-T,2008-04,3.0
SK,IS-IDJF-T,2008-04,4.0
TR,IS-IDJF-T,2008-04,157.0
UK,IS-IDJF-T,2008-04,970.0
AL,IS-IDJF-T,2008-05,
AT,IS-IDJF-T,2008-05,65.0
BE,IS-IDJF-T,2008-05,50.0
BG,IS-IDJF-T,2008-05,16.0
CY,IS-IDJF-T,2008-05,30.0
CZ,IS-IDJF-T,2008-05,35.0
DE,IS-IDJF-T,2008-05,858.0
DK,IS-IDJF-T,2008-05,39.0
EE,IS-IDJF-T,2008-05,6.0
EL,IS-IDJF-T,2008-05,130.0
ES,IS-IDJF-T,2008-05,500.0
EU27_2020,IS-IDJF-T,2008-05,
FI,IS-IDJF-T,2008-05,61.0
FR,IS-IDJF-T,2008-05,772.0
HR,IS-IDJF-T,2008-05,6.0
HU,IS-IDJF-T,2008-05,22.0
IE,IS-IDJF-T,2008-05,295.0
IS,IS-IDJF-T,2008-05,0.0
IT,IS-IDJF-T,2008-05,372.0
LT,IS-IDJF-T,2008-05,7.0
LU,IS-IDJF-T,2008-05,30.0
LV,IS-IDJF-T,2008-05,8.0
ME,IS-IDJF-T,2008-05,
MK,IS-IDJF-T,2008-05,
MT,IS-IDJF-T,2008-05,
NL,IS-IDJF-T,2008-05,314.0
NO,IS-IDJF-T,2008-05,68.0
PL,IS-IDJF-T,2008-05,42.0
PT,IS-IDJF-T,2008-05,86.0
RO,IS-IDJF-T,2008-05,13.0
RS,IS-IDJF-T,2008-05,
SE,IS-IDJF-T,2008-05,91.0
SI,IS-IDJF-T,2008-05,2.0
SK,IS-IDJF-T,2008-05,3.0
TR,IS-IDJF-T,2008-05,220.0
UK,IS-IDJF-T,2008-05,954.0
AL,IS-IDJF-T,2008-06,
AT,IS-IDJF-T,2008-06,70.0
BE,IS-IDJF-T,2008-06,62.0
BG,IS-IDJF-T,2008-06,26.0
CY,IS-IDJF-T,2008-06,31.0
CZ,IS-IDJF-T,2008-06,38.0
DE,IS-IDJF-T,2008-06,740.0
DK,IS-IDJF-T,2008-06,66.0
EE,IS-IDJF-T,2008-06,4.0
EL,IS-IDJF-T,2008-06,124.0
ES,IS-IDJF-T,2008-06,493.0
EU27_2020,IS-IDJF-T,2008-06,
FI,IS-IDJF-T,2008-06,57.0
FR,IS-IDJF-T,2008-06,584.0
HR,IS-IDJF-T,2008-06,7.0
HU,IS-IDJF-T,2008-06,24.0
IE,IS-IDJF-T,2008-06,90.0
IS,IS-IDJF-T,2008-06,0.0
IT,IS-IDJF-T,2008-06,308.0
LT,IS-IDJF-T,2008-06,8.0
LU,IS-IDJF-T,2008-06,26.0
LV,IS-IDJF-T,2008-06,9.0
ME,IS-IDJF-T,2008-06,
MK,IS-IDJF-T,2008-06,
MT,IS-IDJF-T,2008-06,
NL,IS-IDJF-T,2008-06,340.0
NO,IS-IDJF-T,2008-06,58.0
PL,IS-IDJF-T,2008-06,75.0
