geo\TIME_PERIOD,indic,Date,Value
AL,IS-PEL-GWH,2008-01,
AT,IS-PEL-GWH,2008-01,
BA,IS-PEL-GWH,2008-01,
BE,IS-PEL-GWH,2008-01,
BG,IS-PEL-GWH,2008-01,
CY,IS-PEL-GWH,2008-01,
CZ,IS-PEL-GWH,2008-01,
DE,IS-PEL-GWH,2008-01,
DK,IS-PEL-GWH,2008-01,
EE,IS-PEL-GWH,2008-01,
EL,IS-PEL-GWH,2008-01,
ES,IS-PEL-GWH,2008-01,
EU27_2020,IS-PEL-GWH,2008-01,
FI,IS-PEL-GWH,2008-01,
FR,IS-PEL-GWH,2008-01,
HR,IS-PEL-GWH,2008-01,
HU,IS-PEL-GWH,2008-01,
IE,IS-PEL-GWH,2008-01,
IS,IS-PEL-GWH,2008-01,
IT,IS-PEL-GWH,2008-01,
LT,IS-PEL-GWH,2008-01,
LU,IS-PEL-GWH,2008-01,
LV,IS-PEL-GWH,2008-01,
ME,IS-PEL-GWH,2008-01,
MK,IS-PEL-GWH,2008-01,
MT,IS-PEL-GWH,2008-01,
NL,IS-PEL-GWH,2008-01,
NO,IS-PEL-GWH,2008-01,
PL,IS-PEL-GWH,2008-01,
PT,IS-PEL-GWH,2008-01,
RO,IS-PEL-GWH,2008-01,
RS,IS-PEL-GWH,2008-01,
SE,IS-PEL-GWH,2008-01,
SI,IS-PEL-GWH,2008-01,
SK,IS-PEL-GWH,2008-01,
TR,IS-PEL-GWH,2008-01,
UK,IS-PEL-GWH,2008-01,
XK,IS-PEL-GWH,2008-01,
AL,IS-PEL-GWH,2008-02,
AT,IS-PEL-GWH,2008-02,
BA,IS-PEL-GWH,2008-02,
BE,IS-PEL-GWH,2008-02,
BG,IS-PEL-GWH,2008-02,
CY,IS-PEL-GWH,2008-02,
CZ,IS-PEL-GWH,2008-02,
DE,IS-PEL-GWH,2008-02,
DK,IS-PEL-GWH,2008-02,
EE,IS-PEL-GWH,2008-02,
EL,IS-PEL-GWH,2008-02,
ES,IS-PEL-GWH,2008-02,
EU27_2020,IS-PEL-GWH,2008-02,
FI,IS-PEL-GWH,2008-02,
FR,IS-PEL-GWH,2008-02,
HR,IS-PEL-GWH,2008-02,
HU,IS-PEL-GWH,2008-02,
IE,IS-PEL-GWH,2008-02,
IS,IS-PEL-GWH,2008-02,
IT,IS-PEL-GWH,2008-02,
LT,IS-PEL-GWH,2008-02,
LU,IS-PEL-GWH,2008-02,
LV,IS-PEL-GWH,2008-02,
ME,IS-PEL-GWH,2008-02,
MK,IS-PEL-GWH,2008-02,
MT,IS-PEL-GWH,2008-02,
NL,IS-PEL-GWH,2008-02,
NO,IS-PEL-GWH,2008-02,
PL,IS-PEL-GWH,2008-02,
PT,IS-PEL-GWH,2008-02,
RO,IS-PEL-GWH,2008-02,
RS,IS-PEL-GWH,2008-02,
SE,IS-PEL-GWH,2008-02,
SI,IS-PEL-GWH,2008-02,
SK,IS-PEL-GWH,2008-02,
TR,IS-PEL-GWH,2008-02,
UK,IS-PEL-GWH,2008-02,
XK,IS-PEL-GWH,2008-02,
AL,IS-PEL-GWH,2008-03,
AT,IS-PEL-GWH,2008-03,
BA,IS-PEL-GWH,2008-03,
BE,IS-PEL-GWH,2008-03,
BG,IS-PEL-GWH,2008-03,
CY,IS-PEL-GWH,2008-03,
CZ,IS-PEL-GWH,2008-03,
DE,IS-PEL-GWH,2008-03,
DK,IS-PEL-GWH,2008-03,
EE,IS-PEL-GWH,2008-03,
EL,IS-PEL-GWH,2008-03,
ES,IS-PEL-GWH,2008-03,
EU27_2020,IS-PEL-GWH,2008-03,
FI,IS-PEL-GWH,2008-03,
FR,IS-PEL-GWH,2008-03,
HR,IS-PEL-GWH,2008-03,
HU,IS-PEL-GWH,2008-03,
IE,IS-PEL-GWH,2008-03,
IS,IS-PEL-GWH,2008-03,
IT,IS-PEL-GWH,2008-03,
LT,IS-PEL-GWH,2008-03,
LU,IS-PEL-GWH,2008-03,
LV,IS-PEL-GWH,2008-03,
ME,IS-PEL-GWH,2008-03,
MK,IS-PEL-GWH,2008-03,
MT,IS-PEL-GWH,2008-03,
NL,IS-PEL-GWH,2008-03,
NO,IS-PEL-GWH,2008-03,
PL,IS-PEL-GWH,2008-03,
PT,IS-PEL-GWH,2008-03,
RO,IS-PEL-GWH,2008-03,
RS,IS-PEL-GWH,2008-03,
SE,IS-PEL-GWH,2008-03,
SI,IS-PEL-GWH,2008-03,
SK,IS-PEL-GWH,2008-03,
TR,IS-PEL-GWH,2008-03,
UK,IS-PEL-GWH,2008-03,
XK,IS-PEL-GWH,2008-03,
AL,IS-PEL-GWH,2008-04,
AT,IS-PEL-GWH,2008-04,
BA,IS-PEL-GWH,2008-04,
BE,IS-PEL-GWH,2008-04,
BG,IS-PEL-GWH,2008-04,
CY,IS-PEL-GWH,2008-04,
CZ,IS-PEL-GWH,2008-04,
DE,IS-PEL-GWH,2008-04,
DK,IS-PEL-GWH,2008-04,
EE,IS-PEL-GWH,2008-04,
EL,IS-PEL-GWH,2008-04,
ES,IS-PEL-GWH,2008-04,
EU27_2020,IS-PEL-GWH,2008-04,
FI,IS-PEL-GWH,2008-04,
FR,IS-PEL-GWH,2008-04,
HR,IS-PEL-GWH,2008-04,
HU,IS-PEL-GWH,2008-04,
IE,IS-PEL-GWH,2008-04,
IS,IS-PEL-GWH,2008-04,
IT,IS-PEL-GWH,2008-04,
LT,IS-PEL-GWH,2008-04,
LU,IS-PEL-GWH,2008-04,
LV,IS-PEL-GWH,2008-04,
ME,IS-PEL-GWH,2008-04,
MK,IS-PEL-GWH,2008-04,
MT,IS-PEL-GWH,2008-04,
NL,IS-PEL-GWH,2008-04,
NO,IS-PEL-GWH,2008-04,
PL,IS-PEL-GWH,2008-04,
PT,IS-PEL-GWH,2008-04,
RO,IS-PEL-GWH,2008-04,
RS,IS-PEL-GWH,2008-04,
SE,IS-PEL-GWH,2008-04,
SI,IS-PEL-GWH,2008-04,
SK,IS-PEL-GWH,2008-04,
TR,IS-PEL-GWH,2008-04,
UK,IS-PEL-GWH,2008-04,
XK,IS-PEL-GWH,2008-04,
AL,IS-PEL-GWH,2008-05,
AT,IS-PEL-GWH,2008-05,
BA,IS-PEL-GWH,2008-05,
BE,IS-PEL-GWH,2008-05,
BG,IS-PEL-GWH,2008-05,
CY,IS-PEL-GWH,2008-05,
CZ,IS-PEL-GWH,2008-05,
DE,IS-PEL-GWH,2008-05,
DK,IS-PEL-GWH,2008-05,
EE,IS-PEL-GWH,2008-05,
EL,IS-PEL-GWH,2008-05,
ES,IS-PEL-GWH,2008-05,
EU27_2020,IS-PEL-GWH,2008-05,
FI,IS-PEL-GWH,2008-05,
FR,IS-PEL-GWH,2008-05,
HR,IS-PEL-GWH,2008-05,
HU,IS-PEL-GWH,2008-05,
IE,IS-PEL-GWH,2008-05,
IS,IS-PEL-GWH,2008-05,
IT,IS-PEL-GWH,2008-05,
LT,IS-PEL-GWH,2008-05,
LU,IS-PEL-GWH,2008-05,
LV,IS-PEL-GWH,2008-05,
ME,IS-PEL-GWH,2008-05,
MK,IS-PEL-GWH,2008-05,
MT,IS-PEL-GWH,2008-05,
NL,IS-PEL-GWH,2008-05,
NO,IS-PEL-GWH,2008-05,
PL,IS-PEL-GWH,2008-05,
PT,IS-PEL-GWH,2008-05,
RO,IS-PEL-GWH,2008-05,
RS,IS-PEL-GWH,2008-05,
SE,IS-PEL-GWH,2008-05,
SI,IS-PEL-GWH,2008-05,
SK,IS-PEL-GWH,2008-05,
TR,IS-PEL-GWH,2008-05,
UK,IS-PEL-GWH,2008-05,
XK,IS-PEL-GWH,2008-05,
AL,IS-PEL-GWH,2008-06,
AT,IS-PEL-GWH,2008-06,
BA,IS-PEL-GWH,2008-06,
BE,IS-PEL-GWH,2008-06,
BG,IS-PEL-GWH,2008-06,
CY,IS-PEL-GWH,2008-06,
CZ,IS-PEL-GWH,2008-06,
DE,IS-PEL-GWH,2008-06,
DK,IS-PEL-GWH,2008-06,
EE,IS-PEL-GWH,2008-06,
EL,IS-PEL-GWH,2008-06,
ES,IS-PEL-GWH,2008-06,
EU27_2020,IS-PEL-GWH,2008-06,
FI,IS-PEL-GWH,2008-06,
FR,IS-PEL-GWH,2008-06,
HR,IS-PEL-GWH,2008-06,
HU,IS-PEL-GWH,2008-06,
IE,IS-PEL-GWH,2008-06,
IS,IS-PEL-GWH,2008-06,
IT,IS-PEL-GWH,2008-06,
LT,IS-PEL-GWH,2008-06,
LU,IS-PEL-GWH,2008-06,
LV,IS-PEL-GWH,2008-06,
ME,IS-PEL-GWH,2008-06,
MK,IS-PEL-GWH,2008-06,
MT,IS-PEL-GWH,2008-06,
NL,IS-PEL-GWH,2008-06,
NO,IS-PEL-GWH,2008-06,
PL,IS-PEL-GWH,2008-06,
PT,IS-PEL-GWH,2008-06,
RO,IS-PEL-GWH,2008-06,
RS,IS-PEL-GWH,2008-06,
SE,IS-PEL-GWH,2008-06,
SI,IS-PEL-GWH,2008-06,
SK,IS-PEL-GWH,2008-06,
TR,IS-PEL-GWH,2008-06,
UK,IS-PEL-GWH,2008-06,
XK,IS-PEL-GWH,2008-06,
AL,IS-PEL-GWH,2008-07,
AT,IS-PEL-GWH,2008-07,
BA,IS-PEL-GWH,2008-07,
BE,IS-PEL-GWH,2008-07,
BG,IS-PEL-GWH,2008-07,
CY,IS-PEL-GWH,2008-07,
