geo\TIME_PERIOD,indic,Date,Value
AL,IS-PNG-TJ,2008-01,
AT,IS-PNG-TJ,2008-01,5224.0
BE,IS-PNG-TJ,2008-01,0.0
BG,IS-PNG-TJ,2008-01,1005.0
CY,IS-PNG-TJ,2008-01,0.0
CZ,IS-PNG-TJ,2008-01,684.0
DE,IS-PNG-TJ,2008-01,51132.0
DK,IS-PNG-TJ,2008-01,39979.0
EE,IS-PNG-TJ,2008-01,0.0
EL,IS-PNG-TJ,2008-01,100.0
ES,IS-PNG-TJ,2008-01,0.0
EU27_2020,IS-PNG-TJ,2008-01,566613.0
FI,IS-PNG-TJ,2008-01,0.0
FR,IS-PNG-TJ,2008-01,3382.0
HR,IS-PNG-TJ,2008-01,8433.0
HU,IS-PNG-TJ,2008-01,7600.0
IE,IS-PNG-TJ,2008-01,4277.0
IS,IS-PNG-TJ,2008-01,0.0
IT,IS-PNG-TJ,2008-01,29070.0
LT,IS-PNG-TJ,2008-01,0.0
LU,IS-PNG-TJ,2008-01,0.0
LV,IS-PNG-TJ,2008-01,0.0
ME,IS-PNG-TJ,2008-01,
MK,IS-PNG-TJ,2008-01,
MT,IS-PNG-TJ,2008-01,0.0
NL,IS-PNG-TJ,2008-01,359523.0
NO,IS-PNG-TJ,2008-01,382181.0
PL,IS-PNG-TJ,2008-01,16159.0
PT,IS-PNG-TJ,2008-01,0.0
RO,IS-PNG-TJ,2008-01,39690.0
RS,IS-PNG-TJ,2008-01,
SE,IS-PNG-TJ,2008-01,0.0
SI,IS-PNG-TJ,2008-01,0.0
SK,IS-PNG-TJ,2008-01,355.0
TR,IS-PNG-TJ,2008-01,2643.0
UK,IS-PNG-TJ,2008-01,293174.0
XK,IS-PNG-TJ,2008-01,
AL,IS-PNG-TJ,2008-02,
AT,IS-PNG-TJ,2008-02,4745.0
BE,IS-PNG-TJ,2008-02,0.0
BG,IS-PNG-TJ,2008-02,1036.0
CY,IS-PNG-TJ,2008-02,0.0
CZ,IS-PNG-TJ,2008-02,608.0
DE,IS-PNG-TJ,2008-02,47156.0
DK,IS-PNG-TJ,2008-02,37207.0
EE,IS-PNG-TJ,2008-02,0.0
EL,IS-PNG-TJ,2008-02,106.0
ES,IS-PNG-TJ,2008-02,60.0
EU27_2020,IS-PNG-TJ,2008-02,517133.0
FI,IS-PNG-TJ,2008-02,0.0
FR,IS-PNG-TJ,2008-02,3007.0
HR,IS-PNG-TJ,2008-02,7904.0
HU,IS-PNG-TJ,2008-02,6918.0
IE,IS-PNG-TJ,2008-02,3010.0
IS,IS-PNG-TJ,2008-02,0.0
IT,IS-PNG-TJ,2008-02,28042.0
LT,IS-PNG-TJ,2008-02,0.0
LU,IS-PNG-TJ,2008-02,0.0
LV,IS-PNG-TJ,2008-02,0.0
ME,IS-PNG-TJ,2008-02,
MK,IS-PNG-TJ,2008-02,
MT,IS-PNG-TJ,2008-02,0.0
NL,IS-PNG-TJ,2008-02,324603.0
NO,IS-PNG-TJ,2008-02,343814.0
PL,IS-PNG-TJ,2008-02,15166.0
PT,IS-PNG-TJ,2008-02,0.0
RO,IS-PNG-TJ,2008-02,37217.0
RS,IS-PNG-TJ,2008-02,
SE,IS-PNG-TJ,2008-02,0.0
SI,IS-PNG-TJ,2008-02,0.0
SK,IS-PNG-TJ,2008-02,348.0
TR,IS-PNG-TJ,2008-02,3102.0
UK,IS-PNG-TJ,2008-02,256390.0
XK,IS-PNG-TJ,2008-02,
AL,IS-PNG-TJ,2008-03,
AT,IS-PNG-TJ,2008-03,5264.0
BE,IS-PNG-TJ,2008-03,0.0
BG,IS-PNG-TJ,2008-03,1031.0
CY,IS-PNG-TJ,2008-03,0.0
CZ,IS-PNG-TJ,2008-03,646.0
DE,IS-PNG-TJ,2008-03,50406.0
DK,IS-PNG-TJ,2008-03,37640.0
EE,IS-PNG-TJ,2008-03,0.0
EL,IS-PNG-TJ,2008-03,53.0
ES,IS-PNG-TJ,2008-03,52.0
EU27_2020,IS-PNG-TJ,2008-03,532446.0
FI,IS-PNG-TJ,2008-03,0.0
FR,IS-PNG-TJ,2008-03,3472.0
HR,IS-PNG-TJ,2008-03,8496.0
HU,IS-PNG-TJ,2008-03,7389.0
IE,IS-PNG-TJ,2008-03,2257.0
IS,IS-PNG-TJ,2008-03,0.0
IT,IS-PNG-TJ,2008-03,30213.0
LT,IS-PNG-TJ,2008-03,0.0
LU,IS-PNG-TJ,2008-03,0.0
LV,IS-PNG-TJ,2008-03,0.0
ME,IS-PNG-TJ,2008-03,
MK,IS-PNG-TJ,2008-03,
MT,IS-PNG-TJ,2008-03,0.0
NL,IS-PNG-TJ,2008-03,330401.0
NO,IS-PNG-TJ,2008-03,393791.0
PL,IS-PNG-TJ,2008-03,15982.0
PT,IS-PNG-TJ,2008-03,0.0
RO,IS-PNG-TJ,2008-03,38788.0
RS,IS-PNG-TJ,2008-03,
SE,IS-PNG-TJ,2008-03,0.0
SI,IS-PNG-TJ,2008-03,0.0
SK,IS-PNG-TJ,2008-03,356.0
TR,IS-PNG-TJ,2008-03,3370.0
UK,IS-PNG-TJ,2008-03,278125.0
XK,IS-PNG-TJ,2008-03,
AL,IS-PNG-TJ,2008-04,
AT,IS-PNG-TJ,2008-04,4666.0
BE,IS-PNG-TJ,2008-04,0.0
BG,IS-PNG-TJ,2008-04,807.0
CY,IS-PNG-TJ,2008-04,0.0
CZ,IS-PNG-TJ,2008-04,608.0
DE,IS-PNG-TJ,2008-04,45702.0
DK,IS-PNG-TJ,2008-04,36226.0
EE,IS-PNG-TJ,2008-04,0.0
EL,IS-PNG-TJ,2008-04,53.0
ES,IS-PNG-TJ,2008-04,52.0
EU27_2020,IS-PNG-TJ,2008-04,430782.0
FI,IS-PNG-TJ,2008-04,0.0
FR,IS-PNG-TJ,2008-04,3254.0
HR,IS-PNG-TJ,2008-04,8219.0
HU,IS-PNG-TJ,2008-04,7577.0
IE,IS-PNG-TJ,2008-04,1426.0
IS,IS-PNG-TJ,2008-04,0.0
IT,IS-PNG-TJ,2008-04,29413.0
LT,IS-PNG-TJ,2008-04,0.0
LU,IS-PNG-TJ,2008-04,0.0
LV,IS-PNG-TJ,2008-04,0.0
ME,IS-PNG-TJ,2008-04,
MK,IS-PNG-TJ,2008-04,
MT,IS-PNG-TJ,2008-04,0.0
NL,IS-PNG-TJ,2008-04,242436.0
NO,IS-PNG-TJ,2008-04,345892.0
PL,IS-PNG-TJ,2008-04,14930.0
PT,IS-PNG-TJ,2008-04,0.0
RO,IS-PNG-TJ,2008-04,35073.0
RS,IS-PNG-TJ,2008-04,
SE,IS-PNG-TJ,2008-04,0.0
SI,IS-PNG-TJ,2008-04,0.0
SK,IS-PNG-TJ,2008-04,340.0
TR,IS-PNG-TJ,2008-04,3370.0
UK,IS-PNG-TJ,2008-04,251681.0
XK,IS-PNG-TJ,2008-04,
AL,IS-PNG-TJ,2008-05,
AT,IS-PNG-TJ,2008-05,3310.0
BE,IS-PNG-TJ,2008-05,0.0
BG,IS-PNG-TJ,2008-05,897.0
CY,IS-PNG-TJ,2008-05,0.0
CZ,IS-PNG-TJ,2008-05,570.0
DE,IS-PNG-TJ,2008-05,43532.0
DK,IS-PNG-TJ,2008-05,37046.0
EE,IS-PNG-TJ,2008-05,0.0
EL,IS-PNG-TJ,2008-05,53.0
ES,IS-PNG-TJ,2008-05,63.0
EU27_2020,IS-PNG-TJ,2008-05,326822.0
FI,IS-PNG-TJ,2008-05,0.0
FR,IS-PNG-TJ,2008-05,3283.0
HR,IS-PNG-TJ,2008-05,8381.0
HU,IS-PNG-TJ,2008-05,6870.0
IE,IS-PNG-TJ,2008-05,1426.0
IS,IS-PNG-TJ,2008-05,0.0
IT,IS-PNG-TJ,2008-05,30328.0
LT,IS-PNG-TJ,2008-05,0.0
LU,IS-PNG-TJ,2008-05,0.0
LV,IS-PNG-TJ,2008-05,0.0
ME,IS-PNG-TJ,2008-05,
MK,IS-PNG-TJ,2008-05,
MT,IS-PNG-TJ,2008-05,0.0
NL,IS-PNG-TJ,2008-05,141443.0
NO,IS-PNG-TJ,2008-05,318769.0
PL,IS-PNG-TJ,2008-05,14140.0
PT,IS-PNG-TJ,2008-05,0.0
RO,IS-PNG-TJ,2008-05,35102.0
RS,IS-PNG-TJ,2008-05,
SE,IS-PNG-TJ,2008-05,0.0
SI,IS-PNG-TJ,2008-05,0.0
SK,IS-PNG-TJ,2008-05,378.0
TR,IS-PNG-TJ,2008-05,3409.0
UK,IS-PNG-TJ,2008-05,251472.0
XK,IS-PNG-TJ,2008-05,
AL,IS-PNG-TJ,2008-06,
AT,IS-PNG-TJ,2008-06,3788.0
BE,IS-PNG-TJ,2008-06,0.0
BG,IS-PNG-TJ,2008-06,740.0
CY,IS-PNG-TJ,2008-06,0.0
CZ,IS-PNG-TJ,2008-06,570.0
DE,IS-PNG-TJ,2008-06,39823.0
DK,IS-PNG-TJ,2008-06,23683.0
EE,IS-PNG-TJ,2008-06,0.0
EL,IS-PNG-TJ,2008-06,53.0
ES,IS-PNG-TJ,2008-06,63.0
EU27_2020,IS-PNG-TJ,2008-06,298510.0
FI,IS-PNG-TJ,2008-06,0.0
FR,IS-PNG-TJ,2008-06,3101.0
HR,IS-PNG-TJ,2008-06,8134.0
HU,IS-PNG-TJ,2008-06,7156.0
IE,IS-PNG-TJ,2008-06,158.0
IS,IS-PNG-TJ,2008-06,0.0
IT,IS-PNG-TJ,2008-06,29070.0
LT,IS-PNG-TJ,2008-06,0.0
LU,IS-PNG-TJ,2008-06,0.0
LV,IS-PNG-TJ,2008-06,0.0
ME,IS-PNG-TJ,2008-06,
MK,IS-PNG-TJ,2008-06,
MT,IS-PNG-TJ,2008-06,0.0
NL,IS-PNG-TJ,2008-06,136745.0
NO,IS-PNG-TJ,2008-06,291166.0
PL,IS-PNG-TJ,2008-06,11699.0
PT,IS-PNG-TJ,2008-06,0.0
RO,IS-PNG-TJ,2008-06,33350.0
RS,IS-PNG-TJ,2008-06,
SE,IS-PNG-TJ,2008-06,0.0
SI,IS-PNG-TJ,2008-06,0.0
SK,IS-PNG-TJ,2008-06,377.0
TR,IS-PNG-TJ,2008-06,3256.0
UK,IS-PNG-TJ,2008-06,231360.0
XK,IS-PNG-TJ,2008-06,
AL,IS-PNG-TJ,2008-07,
AT,IS-PNG-TJ,2008-07,4466.0
BE,IS-PNG-TJ,2008-07,0.0
BG,IS-PNG-TJ,2008-07,606.0
CY,IS-PNG-TJ,2008-07,0.0
CZ,IS-PNG-TJ,2008-07,608.0
DE,IS-PNG-TJ,2008-07,42140.0
DK,IS-PNG-TJ,2008-07,33997.0
EE,IS-PNG-TJ,2008-07,0.0
EL,IS-PNG-TJ,2008-07,53.0
ES,IS-PNG-TJ,2008-07,54.0
EU27_2020,IS-PNG-TJ,2008-07,315531.0
FI,IS-PNG-TJ,2008-07,0.0
FR,IS-PNG-TJ,2008-07,3231.0
HR,IS-PNG-TJ,2008-07,8275.0
HU,IS-PNG-TJ,2008-07,8372.0
IE,IS-PNG-TJ,2008-07,158.0
IS,IS-PNG-TJ,2008-07,0.0
IT,IS-PNG-TJ,2008-07,28385.0
LT,IS-PNG-TJ,2008-07,0.0
LU,IS-PNG-TJ,2008-07,0.0
LV,IS-PNG-TJ,2008-07,0.0
ME,IS-PNG-TJ,2008-07,
MK,IS-PNG-TJ,2008-07,
MT,IS-PNG-TJ,2008-07,0.0
NL,IS-PNG-TJ,2008-07,138211.0
NO,IS-PNG-TJ,2008-07,316321.0
PL,IS-PNG-TJ,2008-07,12041.0
PT,IS-PNG-TJ,2008-07,0.0
RO,IS-PNG-TJ,2008-07,34565.0
RS,IS-PNG-TJ,2008-07,
SE,IS-PNG-TJ,2008-07,0.0
SI,IS-PNG-TJ,2008-07,0.0
SK,IS-PNG-TJ,2008-07,369.0
TR,IS-PNG-TJ,2008-07,3409.0
UK,IS-PNG-TJ,2008-07,175393.0
XK,IS-PNG-TJ,2008-07,
AL,IS-PNG-TJ,2008-08,
AT,IS-PNG-TJ,2008-08,5423.0
BE,IS-PNG-TJ,2008-08,0.0
BG,IS-PNG-TJ,2008-08,568.0
CY,IS-PNG-TJ,2008-08,0.0
CZ,IS-PNG-TJ,2008-08,609.0
DE,IS-PNG-TJ,2008-08,41382.0
DK,IS-PNG-TJ,2008-08,32031.0
EE,IS-PNG-TJ,2008-08,0.0
EL,IS-PNG-TJ,2008-08,53.0
ES,IS-PNG-TJ,2008-08,66.0
EU27_2020,IS-PNG-TJ,2008-08,303500.0
FI,IS-PNG-TJ,2008-08,0.0
FR,IS-PNG-TJ,2008-08,3146.0
HR,IS-PNG-TJ,2008-08,8201.0
HU,IS-PNG-TJ,2008-08,8945.0
IE,IS-PNG-TJ,2008-08,40.0
IS,IS-PNG-TJ,2008-08,0.0
IT,IS-PNG-TJ,2008-08,30213.0
LT,IS-PNG-TJ,2008-08,0.0
LU,IS-PNG-TJ,2008-08,0.0
LV,IS-PNG-TJ,2008-08,0.0
ME,IS-PNG-TJ,2008-08,
MK,IS-PNG-TJ,2008-08,
MT,IS-PNG-TJ,2008-08,0.0
NL,IS-PNG-TJ,2008-08,125316.0
NO,IS-PNG-TJ,2008-08,249615.0
PL,IS-PNG-TJ,2008-08,12239.0
PT,IS-PNG-TJ,2008-08,0.0
RO,IS-PNG-TJ,2008-08,34905.0
RS,IS-PNG-TJ,2008-08,
SE,IS-PNG-TJ,2008-08,0.0
SI,IS-PNG-TJ,2008-08,0.0
SK,IS-PNG-TJ,2008-08,363.0
TR,IS-PNG-TJ,2008-08,3332.0
UK,IS-PNG-TJ,2008-08,196207.0
XK,IS-PNG-TJ,2008-08,
AL,IS-PNG-TJ,2008-09,
AT,IS-PNG-TJ,2008-09,6022.0
BE,IS-PNG-TJ,2008-09,0.0
BG,IS-PNG-TJ,2008-09,358.0
CY,IS-PNG-TJ,2008-09,0.0
CZ,IS-PNG-TJ,2008-09,609.0
DE,IS-PNG-TJ,2008-09,42724.0
DK,IS-PNG-TJ,2008-09,28433.0
EE,IS-PNG-TJ,2008-09,0.0
EL,IS-PNG-TJ,2008-09,53.0
ES,IS-PNG-TJ,2008-09,63.0
EU27_2020,IS-PNG-TJ,2008-09,333354.0
FI,IS-PNG-TJ,2008-09,0.0
