,"freq,nrg_bal,siec,uni",",geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 "
0,"A,NRGSUP,C0000X0350-0370,KTOE,AL	110.900 	138.974 	77.225 	67.005 	86.449 	94.089 	49.941 	123.149 	239.094 	123.502 	150.666 	227.071 ",
1,"A,NRGSUP,C0000X0350-0370,KTOE,AT	3383.533 	3482.458 	3245.066 	3316.827 	3049.524 	3225.201 	3013.647 	3108.778 	2739.549 	2885.071 	2471.505 	2536.022 ",
2,"A,NRGSUP,C0000X0350-0370,KTOE,BA	: 	: 	: 	: 	3657.915 	3615.414 	4111.803 	4188.714 	4230.078 	3908.080 	4009.674 	3972.128 ",
3,"A,NRGSUP,C0000X0350-0370,KTOE,BE	3787.179 	3505.124 	3235.666 	3563.085 	3476.418 	3425.180 	3165.661 	3069.947 	3080.495 	3050.644 	2364.790 	2597.319 ",
4,"A,NRGSUP,C0000X0350-0370,KTOE,BG	6938.197 	8093.680 	6915.000 	5946.623 	6357.280 	6607.404 	5698.588 	6122.761 	5633.718 	5248.812 	4282.891 	5292.706 ",
5,"A,NRGSUP,C0000X0350-0370,KTOE,CY	16.779 	7.460 	0.124 	0.124 	2.218 	3.679 	0.000 	2.980 	13.614 	17.199 	14.004 	40.105 ",
6,"A,NRGSUP,C0000X0350-0370,KTOE,CZ	18846.975 	18300.811 	17283.113 	17276.269 	15972.076 	16394.610 	16553.885 	15837.627 	15815.285 	14191.778 	12298.302 	12920.974 ",
7,"A,NRGSUP,C0000X0350-0370,KTOE,DE	79075.728 	77965.871 	79918.633 	81561.127 	79604.753 	79414.733 	77130.836 	71308.498 	69738.592 	56465.035 	44655.002 	53202.414 ",
8,"A,NRGSUP,C0000X0350-0370,KTOE,DK	3808.941 	3234.475 	2467.764 	3173.545 	2533.670 	1817.650 	2004.774 	1535.847 	1592.478 	968.926 	819.714 	1120.017 ",
9,"A,NRGSUP,C0000X0350-0370,KTOE,EE	23.940 	29.079 	24.464 	27.993 	33.582 	13.360 	8.659 	12.289 	16.743 	14.129 	-2.726 	-8.983 ",
10,"A,NRGSUP,C0000X0350-0370,KTOE,EL	7863.033 	7886.860 	8134.842 	6981.004 	6687.083 	5606.374 	4369.484 	4816.635 	4564.069 	3196.088 	1830.920 	1710.922 ",
11,"A,NRGSUP,C0000X0350-0370,KTOE,ES	7281.087 	12716.137 	15518.743 	11447.726 	11568.180 	13583.196 	10836.007 	12907.895 	11521.899 	5071.746 	3099.844 	3096.851 ",
12,"A,NRGSUP,C0000X0350-0370,KTOE,EU27_2020	245080.872 	250502.005 	248764.792 	244923.244 	232764.392 	234079.306 	224584.154 	218776.696 	210423.045 	171994.660 	140629.431 	162756.321 ",
13,"A,NRGSUP,C0000X0350-0370,KTOE,FI	4586.783 	3948.281 	2994.989 	3787.802 	3070.626 	2735.524 	2956.109 	2836.165 	2735.441 	2128.570 	1838.623 	2079.265 ",
14,"A,NRGSUP,C0000X0350-0370,KTOE,FR	11962.119 	11279.263 	12526.685 	13244.766 	9845.648 	9326.745 	9111.639 	9921.502 	9132.124 	7328.580 	5298.894 	8471.429 ",
15,"A,NRGSUP,C0000X0350-0370,KTOE,GE	: 	: 	: 	315.223 	290.868 	271.769 	261.649 	291.568 	302.559 	241.170 	213.048 	224.409 ",
16,"A,NRGSUP,C0000X0350-0370,KTOE,HR	682.451 	702.845 	631.555 	674.764 	646.754 	605.362 	651.151 	392.335 	366.355 	418.431 	361.191 	415.335 ",
17,"A,NRGSUP,C0000X0350-0370,KTOE,HU	2703.315 	2708.427 	2604.277 	2265.987 	2208.787 	2359.386 	2189.208 	2235.030 	2133.421 	1829.302 	1683.004 	1371.900 ",
