geo\TIME_PERIOD,indic,Date,GWH
AL,Consumption,2008-01,
AT,Consumption,2008-01,6187.0
BA,Consumption,2008-01,
BE,Consumption,2008-01,8400.0
BG,Consumption,2008-01,3808.0
CY,Consumption,2008-01,436.0
CZ,Consumption,2008-01,6352.0
DE,Consumption,2008-01,44608.0
DK,Consumption,2008-01,3430.0
EE,Consumption,2008-01,864.0
EL,Consumption,2008-01,4751.0
ES,Consumption,2008-01,24597.0
EU27_2020,Consumption,2008-01,
FI,Consumption,2008-01,8836.0
FR,Consumption,2008-01,49891.0
HR,Consumption,2008-01,
HU,Consumption,2008-01,3779.0
IE,Consumption,2008-01,2656.0
IS,Consumption,2008-01,
IT,Consumption,2008-01,29553.0
LT,Consumption,2008-01,1030.0
LU,Consumption,2008-01,619.0
LV,Consumption,2008-01,776.0
ME,Consumption,2008-01,
MK,Consumption,2008-01,
MT,Consumption,2008-01,
NL,Consumption,2008-01,10753.0
NO,Consumption,2008-01,13032.0
PL,Consumption,2008-01,12980.0
PT,Consumption,2008-01,3754.0
RO,Consumption,2008-01,5087.0
RS,Consumption,2008-01,
SE,Consumption,2008-01,14717.0
SI,Consumption,2008-01,1215.0
SK,Consumption,2008-01,2566.0
TR,Consumption,2008-01,
UK,Consumption,2008-01,36144.0
XK,Consumption,2008-01,
AL,Imports,2008-01,
AT,Imports,2008-01,2503.0
BA,Imports,2008-01,
BE,Imports,2008-01,1588.0
BG,Imports,2008-01,467.0
CY,Imports,2008-01,0.0
CZ,Imports,2008-01,1064.0
DE,Imports,2008-01,3525.0
DK,Imports,2008-01,753.0
EE,Imports,2008-01,17.0
EL,Imports,2008-01,130.0
ES,Imports,2008-01,775.0
EU27_2020,Imports,2008-01,
FI,Imports,2008-01,1674.0
FR,Imports,2008-01,798.0
HR,Imports,2008-01,
HU,Imports,2008-01,1420.0
IE,Imports,2008-01,37.0
IS,Imports,2008-01,
IT,Imports,2008-01,3887.0
LT,Imports,2008-01,508.0
LU,Imports,2008-01,613.0
LV,Imports,2008-01,484.0
ME,Imports,2008-01,
MK,Imports,2008-01,
MT,Imports,2008-01,
NL,Imports,2008-01,2273.0
NO,Imports,2008-01,487.0
PL,Imports,2008-01,1008.0
PT,Imports,2008-01,894.0
RO,Imports,2008-01,90.0
RS,Imports,2008-01,
SE,Imports,2008-01,840.0
