geo\TIME_PERIOD,indic,Date,Value
AL,IS-CEL-GWH,2008-01,
AT,IS-CEL-GWH,2008-01,6187.0
BA,IS-CEL-GWH,2008-01,
BE,IS-CEL-GWH,2008-01,8400.0
BG,IS-CEL-GWH,2008-01,3808.0
CY,IS-CEL-GWH,2008-01,436.0
CZ,IS-CEL-GWH,2008-01,6352.0
DE,IS-CEL-GWH,2008-01,44608.0
DK,IS-CEL-GWH,2008-01,3430.0
EE,IS-CEL-GWH,2008-01,864.0
EL,IS-CEL-GWH,2008-01,4751.0
ES,IS-CEL-GWH,2008-01,24597.0
EU27_2020,IS-CEL-GWH,2008-01,
FI,IS-CEL-GWH,2008-01,8836.0
FR,IS-CEL-GWH,2008-01,49891.0
HR,IS-CEL-GWH,2008-01,
HU,IS-CEL-GWH,2008-01,3779.0
IE,IS-CEL-GWH,2008-01,2656.0
IS,IS-CEL-GWH,2008-01,
IT,IS-CEL-GWH,2008-01,29553.0
LT,IS-CEL-GWH,2008-01,1030.0
LU,IS-CEL-GWH,2008-01,619.0
LV,IS-CEL-GWH,2008-01,776.0
ME,IS-CEL-GWH,2008-01,
MK,IS-CEL-GWH,2008-01,
MT,IS-CEL-GWH,2008-01,
NL,IS-CEL-GWH,2008-01,10753.0
NO,IS-CEL-GWH,2008-01,13032.0
PL,IS-CEL-GWH,2008-01,12980.0
PT,IS-CEL-GWH,2008-01,3754.0
RO,IS-CEL-GWH,2008-01,5087.0
RS,IS-CEL-GWH,2008-01,
SE,IS-CEL-GWH,2008-01,14717.0
SI,IS-CEL-GWH,2008-01,1215.0
SK,IS-CEL-GWH,2008-01,2566.0
TR,IS-CEL-GWH,2008-01,
UK,IS-CEL-GWH,2008-01,36144.0
XK,IS-CEL-GWH,2008-01,
AL,IS-CEL-GWH,2008-02,
AT,IS-CEL-GWH,2008-02,5725.0
BA,IS-CEL-GWH,2008-02,
BE,IS-CEL-GWH,2008-02,7932.0
BG,IS-CEL-GWH,2008-02,3281.0
CY,IS-CEL-GWH,2008-02,393.0
CZ,IS-CEL-GWH,2008-02,5878.0
DE,IS-CEL-GWH,2008-02,43957.0
DK,IS-CEL-GWH,2008-02,3149.0
EE,IS-CEL-GWH,2008-02,775.0
EL,IS-CEL-GWH,2008-02,4253.0
ES,IS-CEL-GWH,2008-02,23096.0
EU27_2020,IS-CEL-GWH,2008-02,
FI,IS-CEL-GWH,2008-02,7955.0
FR,IS-CEL-GWH,2008-02,45277.0
HR,IS-CEL-GWH,2008-02,
HU,IS-CEL-GWH,2008-02,3470.0
IE,IS-CEL-GWH,2008-02,2474.0
IS,IS-CEL-GWH,2008-02,
IT,IS-CEL-GWH,2008-02,28257.0
LT,IS-CEL-GWH,2008-02,915.0
LU,IS-CEL-GWH,2008-02,586.0
