geo\TIME_PERIOD,indic,Date,Value
AL,IS-IDC-T,2008-01,
AT,IS-IDC-T,2008-01,
BA,IS-IDC-T,2008-01,
BE,IS-IDC-T,2008-01,
BG,IS-IDC-T,2008-01,
CY,IS-IDC-T,2008-01,
CZ,IS-IDC-T,2008-01,
DE,IS-IDC-T,2008-01,
DK,IS-IDC-T,2008-01,
EE,IS-IDC-T,2008-01,
EL,IS-IDC-T,2008-01,
ES,IS-IDC-T,2008-01,
EU27_2020,IS-IDC-T,2008-01,
FI,IS-IDC-T,2008-01,
FR,IS-IDC-T,2008-01,
HR,IS-IDC-T,2008-01,
HU,IS-IDC-T,2008-01,
IE,IS-IDC-T,2008-01,
IT,IS-IDC-T,2008-01,
LT,IS-IDC-T,2008-01,
LU,IS-IDC-T,2008-01,
LV,IS-IDC-T,2008-01,
ME,IS-IDC-T,2008-01,
MK,IS-IDC-T,2008-01,
MT,IS-IDC-T,2008-01,
NL,IS-IDC-T,2008-01,
NO,IS-IDC-T,2008-01,
PL,IS-IDC-T,2008-01,
PT,IS-IDC-T,2008-01,
RO,IS-IDC-T,2008-01,
RS,IS-IDC-T,2008-01,
SE,IS-IDC-T,2008-01,
SI,IS-IDC-T,2008-01,
SK,IS-IDC-T,2008-01,
TR,IS-IDC-T,2008-01,
UK,IS-IDC-T,2008-01,
XK,IS-IDC-T,2008-01,
AL,IS-IDC-T,2008-02,
AT,IS-IDC-T,2008-02,
BA,IS-IDC-T,2008-02,
BE,IS-IDC-T,2008-02,
BG,IS-IDC-T,2008-02,
CY,IS-IDC-T,2008-02,
CZ,IS-IDC-T,2008-02,
DE,IS-IDC-T,2008-02,
DK,IS-IDC-T,2008-02,
EE,IS-IDC-T,2008-02,
EL,IS-IDC-T,2008-02,
ES,IS-IDC-T,2008-02,
EU27_2020,IS-IDC-T,2008-02,
FI,IS-IDC-T,2008-02,
FR,IS-IDC-T,2008-02,
HR,IS-IDC-T,2008-02,
HU,IS-IDC-T,2008-02,
IE,IS-IDC-T,2008-02,
IT,IS-IDC-T,2008-02,
LT,IS-IDC-T,2008-02,
LU,IS-IDC-T,2008-02,
LV,IS-IDC-T,2008-02,
ME,IS-IDC-T,2008-02,
MK,IS-IDC-T,2008-02,
MT,IS-IDC-T,2008-02,
NL,IS-IDC-T,2008-02,
NO,IS-IDC-T,2008-02,
PL,IS-IDC-T,2008-02,
PT,IS-IDC-T,2008-02,
RO,IS-IDC-T,2008-02,
RS,IS-IDC-T,2008-02,
SE,IS-IDC-T,2008-02,
SI,IS-IDC-T,2008-02,
SK,IS-IDC-T,2008-02,
TR,IS-IDC-T,2008-02,
UK,IS-IDC-T,2008-02,
XK,IS-IDC-T,2008-02,
AL,IS-IDC-T,2008-03,
AT,IS-IDC-T,2008-03,
BA,IS-IDC-T,2008-03,
BE,IS-IDC-T,2008-03,
BG,IS-IDC-T,2008-03,
CY,IS-IDC-T,2008-03,
CZ,IS-IDC-T,2008-03,
DE,IS-IDC-T,2008-03,
DK,IS-IDC-T,2008-03,
EE,IS-IDC-T,2008-03,
EL,IS-IDC-T,2008-03,
ES,IS-IDC-T,2008-03,
EU27_2020,IS-IDC-T,2008-03,
FI,IS-IDC-T,2008-03,
FR,IS-IDC-T,2008-03,
HR,IS-IDC-T,2008-03,
HU,IS-IDC-T,2008-03,
IE,IS-IDC-T,2008-03,
IT,IS-IDC-T,2008-03,
LT,IS-IDC-T,2008-03,
LU,IS-IDC-T,2008-03,
LV,IS-IDC-T,2008-03,
ME,IS-IDC-T,2008-03,
MK,IS-IDC-T,2008-03,
MT,IS-IDC-T,2008-03,
NL,IS-IDC-T,2008-03,
NO,IS-IDC-T,2008-03,
PL,IS-IDC-T,2008-03,
PT,IS-IDC-T,2008-03,
RO,IS-IDC-T,2008-03,
RS,IS-IDC-T,2008-03,
SE,IS-IDC-T,2008-03,
SI,IS-IDC-T,2008-03,
SK,IS-IDC-T,2008-03,
TR,IS-IDC-T,2008-03,
UK,IS-IDC-T,2008-03,
XK,IS-IDC-T,2008-03,
AL,IS-IDC-T,2008-04,
AT,IS-IDC-T,2008-04,
BA,IS-IDC-T,2008-04,
BE,IS-IDC-T,2008-04,
BG,IS-IDC-T,2008-04,
CY,IS-IDC-T,2008-04,
CZ,IS-IDC-T,2008-04,
DE,IS-IDC-T,2008-04,
DK,IS-IDC-T,2008-04,
EE,IS-IDC-T,2008-04,
EL,IS-IDC-T,2008-04,
ES,IS-IDC-T,2008-04,
EU27_2020,IS-IDC-T,2008-04,
FI,IS-IDC-T,2008-04,
FR,IS-IDC-T,2008-04,
HR,IS-IDC-T,2008-04,
HU,IS-IDC-T,2008-04,
IE,IS-IDC-T,2008-04,
IT,IS-IDC-T,2008-04,
LT,IS-IDC-T,2008-04,
LU,IS-IDC-T,2008-04,
LV,IS-IDC-T,2008-04,
ME,IS-IDC-T,2008-04,
MK,IS-IDC-T,2008-04,
MT,IS-IDC-T,2008-04,
NL,IS-IDC-T,2008-04,
NO,IS-IDC-T,2008-04,
PL,IS-IDC-T,2008-04,
PT,IS-IDC-T,2008-04,
RO,IS-IDC-T,2008-04,
RS,IS-IDC-T,2008-04,
SE,IS-IDC-T,2008-04,
SI,IS-IDC-T,2008-04,
SK,IS-IDC-T,2008-04,
TR,IS-IDC-T,2008-04,
UK,IS-IDC-T,2008-04,
XK,IS-IDC-T,2008-04,
AL,IS-IDC-T,2008-05,
AT,IS-IDC-T,2008-05,
BA,IS-IDC-T,2008-05,
BE,IS-IDC-T,2008-05,
BG,IS-IDC-T,2008-05,
CY,IS-IDC-T,2008-05,
CZ,IS-IDC-T,2008-05,
DE,IS-IDC-T,2008-05,
DK,IS-IDC-T,2008-05,
EE,IS-IDC-T,2008-05,
EL,IS-IDC-T,2008-05,
ES,IS-IDC-T,2008-05,
EU27_2020,IS-IDC-T,2008-05,
FI,IS-IDC-T,2008-05,
FR,IS-IDC-T,2008-05,
HR,IS-IDC-T,2008-05,
HU,IS-IDC-T,2008-05,
IE,IS-IDC-T,2008-05,
IT,IS-IDC-T,2008-05,
LT,IS-IDC-T,2008-05,
LU,IS-IDC-T,2008-05,
LV,IS-IDC-T,2008-05,
ME,IS-IDC-T,2008-05,
MK,IS-IDC-T,2008-05,
MT,IS-IDC-T,2008-05,
NL,IS-IDC-T,2008-05,
NO,IS-IDC-T,2008-05,
PL,IS-IDC-T,2008-05,
PT,IS-IDC-T,2008-05,
RO,IS-IDC-T,2008-05,
RS,IS-IDC-T,2008-05,
SE,IS-IDC-T,2008-05,
SI,IS-IDC-T,2008-05,
SK,IS-IDC-T,2008-05,
TR,IS-IDC-T,2008-05,
UK,IS-IDC-T,2008-05,
XK,IS-IDC-T,2008-05,
AL,IS-IDC-T,2008-06,
AT,IS-IDC-T,2008-06,
BA,IS-IDC-T,2008-06,
BE,IS-IDC-T,2008-06,
BG,IS-IDC-T,2008-06,
CY,IS-IDC-T,2008-06,
CZ,IS-IDC-T,2008-06,
DE,IS-IDC-T,2008-06,
DK,IS-IDC-T,2008-06,
EE,IS-IDC-T,2008-06,
EL,IS-IDC-T,2008-06,
ES,IS-IDC-T,2008-06,
EU27_2020,IS-IDC-T,2008-06,
FI,IS-IDC-T,2008-06,
FR,IS-IDC-T,2008-06,
HR,IS-IDC-T,2008-06,
HU,IS-IDC-T,2008-06,
IE,IS-IDC-T,2008-06,
