geo\TIME_PERIOD,indic,Date,Value
AL,IS-IDGD-T,2008-01,
AT,IS-IDGD-T,2008-01,
BE,IS-IDGD-T,2008-01,
BG,IS-IDGD-T,2008-01,
CY,IS-IDGD-T,2008-01,
CZ,IS-IDGD-T,2008-01,
DE,IS-IDGD-T,2008-01,
DK,IS-IDGD-T,2008-01,
EE,IS-IDGD-T,2008-01,
EL,IS-IDGD-T,2008-01,
ES,IS-IDGD-T,2008-01,
EU27_2020,IS-IDGD-T,2008-01,
FI,IS-IDGD-T,2008-01,
FR,IS-IDGD-T,2008-01,
HR,IS-IDGD-T,2008-01,
HU,IS-IDGD-T,2008-01,
IE,IS-IDGD-T,2008-01,
IT,IS-IDGD-T,2008-01,
LT,IS-IDGD-T,2008-01,
LU,IS-IDGD-T,2008-01,
LV,IS-IDGD-T,2008-01,
ME,IS-IDGD-T,2008-01,
MK,IS-IDGD-T,2008-01,
MT,IS-IDGD-T,2008-01,
NL,IS-IDGD-T,2008-01,
NO,IS-IDGD-T,2008-01,
PL,IS-IDGD-T,2008-01,
PT,IS-IDGD-T,2008-01,
RO,IS-IDGD-T,2008-01,
RS,IS-IDGD-T,2008-01,
SE,IS-IDGD-T,2008-01,
SI,IS-IDGD-T,2008-01,
SK,IS-IDGD-T,2008-01,
TR,IS-IDGD-T,2008-01,
UK,IS-IDGD-T,2008-01,
AL,IS-IDGD-T,2008-02,
AT,IS-IDGD-T,2008-02,
BE,IS-IDGD-T,2008-02,
BG,IS-IDGD-T,2008-02,
CY,IS-IDGD-T,2008-02,
CZ,IS-IDGD-T,2008-02,
DE,IS-IDGD-T,2008-02,
DK,IS-IDGD-T,2008-02,
EE,IS-IDGD-T,2008-02,
EL,IS-IDGD-T,2008-02,
ES,IS-IDGD-T,2008-02,
EU27_2020,IS-IDGD-T,2008-02,
FI,IS-IDGD-T,2008-02,
FR,IS-IDGD-T,2008-02,
HR,IS-IDGD-T,2008-02,
HU,IS-IDGD-T,2008-02,
IE,IS-IDGD-T,2008-02,
IT,IS-IDGD-T,2008-02,
