geo\TIME_PERIOD,indic,Date,Value
AL,IS-IDMG-T,2008-01,
AT,IS-IDMG-T,2008-01,167.0
BE,IS-IDMG-T,2008-01,72.0
BG,IS-IDMG-T,2008-01,79.0
CY,IS-IDMG-T,2008-01,36.0
CZ,IS-IDMG-T,2008-01,155.0
DE,IS-IDMG-T,2008-01,1706.0
DK,IS-IDMG-T,2008-01,137.0
EE,IS-IDMG-T,2008-01,4.0
EL,IS-IDMG-T,2008-01,273.0
ES,IS-IDMG-T,2008-01,498.0
EU27_2020,IS-IDMG-T,2008-01,
FI,IS-IDMG-T,2008-01,94.0
FR,IS-IDMG-T,2008-01,822.0
HR,IS-IDMG-T,2008-01,59.0
HU,IS-IDMG-T,2008-01,116.0
IE,IS-IDMG-T,2008-01,104.0
IS,IS-IDMG-T,2008-01,0.0
IT,IS-IDMG-T,2008-01,798.0
LT,IS-IDMG-T,2008-01,31.0
LU,IS-IDMG-T,2008-01,31.0
LV,IS-IDMG-T,2008-01,24.0
ME,IS-IDMG-T,2008-01,
MK,IS-IDMG-T,2008-01,
MT,IS-IDMG-T,2008-01,
NL,IS-IDMG-T,2008-01,346.0
NO,IS-IDMG-T,2008-01,143.0
PL,IS-IDMG-T,2008-01,343.0
PT,IS-IDMG-T,2008-01,113.0
RO,IS-IDMG-T,2008-01,106.0
RS,IS-IDMG-T,2008-01,
SE,IS-IDMG-T,2008-01,268.0
SI,IS-IDMG-T,2008-01,47.0
SK,IS-IDMG-T,2008-01,54.0
TR,IS-IDMG-T,2008-01,292.0
UK,IS-IDMG-T,2008-01,1032.0
AL,IS-IDMG-T,2008-02,
AT,IS-IDMG-T,2008-02,137.0
BE,IS-IDMG-T,2008-02,74.0
BG,IS-IDMG-T,2008-02,46.0
CY,IS-IDMG-T,2008-02,29.0
CZ,IS-IDMG-T,2008-02,154.0
DE,IS-IDMG-T,2008-02,1537.0
DK,IS-IDMG-T,2008-02,130.0
EE,IS-IDMG-T,2008-02,16.0
EL,IS-IDMG-T,2008-02,310.0
ES,IS-IDMG-T,2008-02,483.0
EU27_2020,IS-IDMG-T,2008-02,
FI,IS-IDMG-T,2008-02,131.0
FR,IS-IDMG-T,2008-02,715.0
HR,IS-IDMG-T,2008-02,58.0
HU,IS-IDMG-T,2008-02,114.0
IE,IS-IDMG-T,2008-02,66.0
IS,IS-IDMG-T,2008-02,0.0
IT,IS-IDMG-T,2008-02,938.0
LT,IS-IDMG-T,2008-02,31.0
LU,IS-IDMG-T,2008-02,32.0
LV,IS-IDMG-T,2008-02,33.0
ME,IS-IDMG-T,2008-02,
MK,IS-IDMG-T,2008-02,
MT,IS-IDMG-T,2008-02,
NL,IS-IDMG-T,2008-02,330.0
NO,IS-IDMG-T,2008-02,31.0
PL,IS-IDMG-T,2008-02,307.0
PT,IS-IDMG-T,2008-02,108.0
RO,IS-IDMG-T,2008-02,109.0
RS,IS-IDMG-T,2008-02,
SE,IS-IDMG-T,2008-02,321.0
SI,IS-IDMG-T,2008-02,49.0
SK,IS-IDMG-T,2008-02,44.0
TR,IS-IDMG-T,2008-02,145.0
UK,IS-IDMG-T,2008-02,1302.0
AL,IS-IDMG-T,2008-03,
AT,IS-IDMG-T,2008-03,141.0
BE,IS-IDMG-T,2008-03,73.0
BG,IS-IDMG-T,2008-03,50.0
CY,IS-IDMG-T,2008-03,26.0
CZ,IS-IDMG-T,2008-03,167.0
DE,IS-IDMG-T,2008-03,1761.0
DK,IS-IDMG-T,2008-03,141.0
EE,IS-IDMG-T,2008-03,23.0
EL,IS-IDMG-T,2008-03,247.0
ES,IS-IDMG-T,2008-03,528.0
EU27_2020,IS-IDMG-T,2008-03,
FI,IS-IDMG-T,2008-03,148.0
FR,IS-IDMG-T,2008-03,926.0
HR,IS-IDMG-T,2008-03,57.0
HU,IS-IDMG-T,2008-03,127.0
IE,IS-IDMG-T,2008-03,99.0
IS,IS-IDMG-T,2008-03,0.0
IT,IS-IDMG-T,2008-03,896.0
LT,IS-IDMG-T,2008-03,32.0
LU,IS-IDMG-T,2008-03,33.0
LV,IS-IDMG-T,2008-03,30.0
ME,IS-IDMG-T,2008-03,
MK,IS-IDMG-T,2008-03,
MT,IS-IDMG-T,2008-03,
