geo\TIME_PERIOD,indic,Date,Value
AL,IS-IDMS-T,2008-01,
AT,IS-IDMS-T,2008-01,
BE,IS-IDMS-T,2008-01,
BG,IS-IDMS-T,2008-01,
CY,IS-IDMS-T,2008-01,
CZ,IS-IDMS-T,2008-01,
DE,IS-IDMS-T,2008-01,
DK,IS-IDMS-T,2008-01,
EE,IS-IDMS-T,2008-01,
EL,IS-IDMS-T,2008-01,
ES,IS-IDMS-T,2008-01,
EU27_2020,IS-IDMS-T,2008-01,
FI,IS-IDMS-T,2008-01,
FR,IS-IDMS-T,2008-01,
HR,IS-IDMS-T,2008-01,
HU,IS-IDMS-T,2008-01,
IE,IS-IDMS-T,2008-01,
IT,IS-IDMS-T,2008-01,
LT,IS-IDMS-T,2008-01,
LU,IS-IDMS-T,2008-01,
LV,IS-IDMS-T,2008-01,
ME,IS-IDMS-T,2008-01,
MK,IS-IDMS-T,2008-01,
MT,IS-IDMS-T,2008-01,
NL,IS-IDMS-T,2008-01,
NO,IS-IDMS-T,2008-01,
PL,IS-IDMS-T,2008-01,
PT,IS-IDMS-T,2008-01,
RO,IS-IDMS-T,2008-01,
RS,IS-IDMS-T,2008-01,
SE,IS-IDMS-T,2008-01,
SI,IS-IDMS-T,2008-01,
SK,IS-IDMS-T,2008-01,
TR,IS-IDMS-T,2008-01,
UK,IS-IDMS-T,2008-01,
AL,IS-IDMS-T,2008-02,
AT,IS-IDMS-T,2008-02,
BE,IS-IDMS-T,2008-02,
BG,IS-IDMS-T,2008-02,
CY,IS-IDMS-T,2008-02,
CZ,IS-IDMS-T,2008-02,
DE,IS-IDMS-T,2008-02,
DK,IS-IDMS-T,2008-02,
EE,IS-IDMS-T,2008-02,
EL,IS-IDMS-T,2008-02,
ES,IS-IDMS-T,2008-02,
EU27_2020,IS-IDMS-T,2008-02,
FI,IS-IDMS-T,2008-02,
FR,IS-IDMS-T,2008-02,
HR,IS-IDMS-T,2008-02,
HU,IS-IDMS-T,2008-02,
IE,IS-IDMS-T,2008-02,
IT,IS-IDMS-T,2008-02,
LT,IS-IDMS-T,2008-02,
LU,IS-IDMS-T,2008-02,
LV,IS-IDMS-T,2008-02,
ME,IS-IDMS-T,2008-02,
MK,IS-IDMS-T,2008-02,
MT,IS-IDMS-T,2008-02,
NL,IS-IDMS-T,2008-02,
NO,IS-IDMS-T,2008-02,
PL,IS-IDMS-T,2008-02,
PT,IS-IDMS-T,2008-02,
RO,IS-IDMS-T,2008-02,
RS,IS-IDMS-T,2008-02,
SE,IS-IDMS-T,2008-02,
SI,IS-IDMS-T,2008-02,
SK,IS-IDMS-T,2008-02,
TR,IS-IDMS-T,2008-02,
UK,IS-IDMS-T,2008-02,
AL,IS-IDMS-T,2008-03,
AT,IS-IDMS-T,2008-03,
BE,IS-IDMS-T,2008-03,
BG,IS-IDMS-T,2008-03,
CY,IS-IDMS-T,2008-03,
CZ,IS-IDMS-T,2008-03,
DE,IS-IDMS-T,2008-03,
DK,IS-IDMS-T,2008-03,
EE,IS-IDMS-T,2008-03,
EL,IS-IDMS-T,2008-03,
ES,IS-IDMS-T,2008-03,
EU27_2020,IS-IDMS-T,2008-03,
FI,IS-IDMS-T,2008-03,
FR,IS-IDMS-T,2008-03,
HR,IS-IDMS-T,2008-03,
HU,IS-IDMS-T,2008-03,
IE,IS-IDMS-T,2008-03,
IT,IS-IDMS-T,2008-03,
LT,IS-IDMS-T,2008-03,
LU,IS-IDMS-T,2008-03,
LV,IS-IDMS-T,2008-03,
ME,IS-IDMS-T,2008-03,
MK,IS-IDMS-T,2008-03,
MT,IS-IDMS-T,2008-03,
NL,IS-IDMS-T,2008-03,
NO,IS-IDMS-T,2008-03,
PL,IS-IDMS-T,2008-03,
PT,IS-IDMS-T,2008-03,
RO,IS-IDMS-T,2008-03,
RS,IS-IDMS-T,2008-03,
SE,IS-IDMS-T,2008-03,
SI,IS-IDMS-T,2008-03,
SK,IS-IDMS-T,2008-03,
TR,IS-IDMS-T,2008-03,
UK,IS-IDMS-T,2008-03,
AL,IS-IDMS-T,2008-04,
AT,IS-IDMS-T,2008-04,
BE,IS-IDMS-T,2008-04,
BG,IS-IDMS-T,2008-04,
CY,IS-IDMS-T,2008-04,
CZ,IS-IDMS-T,2008-04,
DE,IS-IDMS-T,2008-04,
DK,IS-IDMS-T,2008-04,
EE,IS-IDMS-T,2008-04,
EL,IS-IDMS-T,2008-04,
ES,IS-IDMS-T,2008-04,
EU27_2020,IS-IDMS-T,2008-04,
FI,IS-IDMS-T,2008-04,
FR,IS-IDMS-T,2008-04,
HR,IS-IDMS-T,2008-04,
HU,IS-IDMS-T,2008-04,
IE,IS-IDMS-T,2008-04,
IT,IS-IDMS-T,2008-04,
LT,IS-IDMS-T,2008-04,
LU,IS-IDMS-T,2008-04,
LV,IS-IDMS-T,2008-04,
ME,IS-IDMS-T,2008-04,
MK,IS-IDMS-T,2008-04,
MT,IS-IDMS-T,2008-04,
NL,IS-IDMS-T,2008-04,
NO,IS-IDMS-T,2008-04,
PL,IS-IDMS-T,2008-04,
PT,IS-IDMS-T,2008-04,
RO,IS-IDMS-T,2008-04,
RS,IS-IDMS-T,2008-04,
SE,IS-IDMS-T,2008-04,
SI,IS-IDMS-T,2008-04,
SK,IS-IDMS-T,2008-04,
TR,IS-IDMS-T,2008-04,
UK,IS-IDMS-T,2008-04,
AL,IS-IDMS-T,2008-05,
AT,IS-IDMS-T,2008-05,
BE,IS-IDMS-T,2008-05,
BG,IS-IDMS-T,2008-05,
CY,IS-IDMS-T,2008-05,
CZ,IS-IDMS-T,2008-05,
DE,IS-IDMS-T,2008-05,
DK,IS-IDMS-T,2008-05,
EE,IS-IDMS-T,2008-05,
EL,IS-IDMS-T,2008-05,
ES,IS-IDMS-T,2008-05,
EU27_2020,IS-IDMS-T,2008-05,
FI,IS-IDMS-T,2008-05,
FR,IS-IDMS-T,2008-05,
HR,IS-IDMS-T,2008-05,
HU,IS-IDMS-T,2008-05,
IE,IS-IDMS-T,2008-05,
IT,IS-IDMS-T,2008-05,
LT,IS-IDMS-T,2008-05,
LU,IS-IDMS-T,2008-05,
LV,IS-IDMS-T,2008-05,
ME,IS-IDMS-T,2008-05,
MK,IS-IDMS-T,2008-05,
MT,IS-IDMS-T,2008-05,
NL,IS-IDMS-T,2008-05,
NO,IS-IDMS-T,2008-05,
PL,IS-IDMS-T,2008-05,
PT,IS-IDMS-T,2008-05,
RO,IS-IDMS-T,2008-05,
RS,IS-IDMS-T,2008-05,
SE,IS-IDMS-T,2008-05,
SI,IS-IDMS-T,2008-05,
SK,IS-IDMS-T,2008-05,
TR,IS-IDMS-T,2008-05,
UK,IS-IDMS-T,2008-05,
AL,IS-IDMS-T,2008-06,
AT,IS-IDMS-T,2008-06,
BE,IS-IDMS-T,2008-06,
