geo\TIME_PERIOD,indic,Date,Value
AL,IS-IEL-GWH,2008-01,
AT,IS-IEL-GWH,2008-01,2503.0
BA,IS-IEL-GWH,2008-01,
BE,IS-IEL-GWH,2008-01,1588.0
BG,IS-IEL-GWH,2008-01,467.0
CY,IS-IEL-GWH,2008-01,0.0
CZ,IS-IEL-GWH,2008-01,1064.0
DE,IS-IEL-GWH,2008-01,3525.0
DK,IS-IEL-GWH,2008-01,753.0
EE,IS-IEL-GWH,2008-01,17.0
EL,IS-IEL-GWH,2008-01,130.0
ES,IS-IEL-GWH,2008-01,775.0
EU27_2020,IS-IEL-GWH,2008-01,
FI,IS-IEL-GWH,2008-01,1674.0
FR,IS-IEL-GWH,2008-01,798.0
HR,IS-IEL-GWH,2008-01,
HU,IS-IEL-GWH,2008-01,1420.0
IE,IS-IEL-GWH,2008-01,37.0
IS,IS-IEL-GWH,2008-01,
IT,IS-IEL-GWH,2008-01,3887.0
LT,IS-IEL-GWH,2008-01,508.0
LU,IS-IEL-GWH,2008-01,613.0
LV,IS-IEL-GWH,2008-01,484.0
ME,IS-IEL-GWH,2008-01,
MK,IS-IEL-GWH,2008-01,
MT,IS-IEL-GWH,2008-01,
NL,IS-IEL-GWH,2008-01,2273.0
NO,IS-IEL-GWH,2008-01,487.0
PL,IS-IEL-GWH,2008-01,1008.0
PT,IS-IEL-GWH,2008-01,894.0
RO,IS-IEL-GWH,2008-01,90.0
RS,IS-IEL-GWH,2008-01,
SE,IS-IEL-GWH,2008-01,840.0
SI,IS-IEL-GWH,2008-01,587.0
SK,IS-IEL-GWH,2008-01,1153.0
TR,IS-IEL-GWH,2008-01,
UK,IS-IEL-GWH,2008-01,1021.0
XK,IS-IEL-GWH,2008-01,
AL,IS-IEL-GWH,2008-02,
AT,IS-IEL-GWH,2008-02,2283.0
BA,IS-IEL-GWH,2008-02,
BE,IS-IEL-GWH,2008-02,1569.0
BG,IS-IEL-GWH,2008-02,544.0
CY,IS-IEL-GWH,2008-02,0.0
CZ,IS-IEL-GWH,2008-02,865.0
DE,IS-IEL-GWH,2008-02,3182.0
DK,IS-IEL-GWH,2008-02,862.0
EE,IS-IEL-GWH,2008-02,10.0
EL,IS-IEL-GWH,2008-02,215.0
ES,IS-IEL-GWH,2008-02,613.0
EU27_2020,IS-IEL-GWH,2008-02,
