geo\TIME_PERIOD,indic,Date,Value
AL,IS-ING-TJ,2008-01,
AT,IS-ING-TJ,2008-01,36836.0
BE,IS-ING-TJ,2008-01,63886.0
BG,IS-ING-TJ,2008-01,14271.0
CY,IS-ING-TJ,2008-01,0.0
CZ,IS-ING-TJ,2008-01,32578.0
DE,IS-ING-TJ,2008-01,343092.0
DK,IS-ING-TJ,2008-01,0.0
EE,IS-ING-TJ,2008-01,3539.0
EL,IS-ING-TJ,2008-01,17129.0
ES,IS-ING-TJ,2008-01,154762.0
EU27_2020,IS-ING-TJ,2008-01,1466094.0
FI,IS-ING-TJ,2008-01,19192.0
FR,IS-ING-TJ,2008-01,184582.0
HR,IS-ING-TJ,2008-01,3162.0
HU,IS-ING-TJ,2008-01,44119.0
IE,IS-ING-TJ,2008-01,16315.0
IS,IS-ING-TJ,2008-01,0.0
IT,IS-ING-TJ,2008-01,311087.0
LT,IS-ING-TJ,2008-01,14698.0
LU,IS-ING-TJ,2008-01,5900.0
LV,IS-ING-TJ,2008-01,0.0
ME,IS-ING-TJ,2008-01,
MK,IS-ING-TJ,2008-01,
MT,IS-ING-TJ,2008-01,0.0
NL,IS-ING-TJ,2008-01,84933.0
NO,IS-ING-TJ,2008-01,0.0
PL,IS-ING-TJ,2008-01,41405.0
PT,IS-ING-TJ,2008-01,19032.0
RO,IS-ING-TJ,2008-01,20236.0
RS,IS-ING-TJ,2008-01,
SE,IS-ING-TJ,2008-01,4896.0
SI,IS-ING-TJ,2008-01,4543.0
SK,IS-ING-TJ,2008-01,25901.0
TR,IS-ING-TJ,2008-01,140404.0
UK,IS-ING-TJ,2008-01,159511.0
XK,IS-ING-TJ,2008-01,
AL,IS-ING-TJ,2008-02,
AT,IS-ING-TJ,2008-02,33037.0
BE,IS-ING-TJ,2008-02,51194.0
BG,IS-ING-TJ,2008-02,12173.0
CY,IS-ING-TJ,2008-02,0.0
CZ,IS-ING-TJ,2008-02,30605.0
DE,IS-ING-TJ,2008-02,298527.0
DK,IS-ING-TJ,2008-02,0.0
EE,IS-ING-TJ,2008-02,3526.0
EL,IS-ING-TJ,2008-02,15810.0
ES,IS-ING-TJ,2008-02,138495.0
EU27_2020,IS-ING-TJ,2008-02,1315203.0
FI,IS-ING-TJ,2008-02,17197.0
FR,IS-ING-TJ,2008-02,169115.0
HR,IS-ING-TJ,2008-02,3893.0
HU,IS-ING-TJ,2008-02,41230.0
IE,IS-ING-TJ,2008-02,16711.0
IS,IS-ING-TJ,2008-02,0.0
IT,IS-ING-TJ,2008-02,289370.0
LT,IS-ING-TJ,2008-02,11796.0
LU,IS-ING-TJ,2008-02,5450.0
LV,IS-ING-TJ,2008-02,0.0
ME,IS-ING-TJ,2008-02,
MK,IS-ING-TJ,2008-02,
MT,IS-ING-TJ,2008-02,0.0
NL,IS-ING-TJ,2008-02,76769.0
NO,IS-ING-TJ,2008-02,0.0
PL,IS-ING-TJ,2008-02,37177.0
PT,IS-ING-TJ,2008-02,16162.0
RO,IS-ING-TJ,2008-02,15166.0
RS,IS-ING-TJ,2008-02,
SE,IS-ING-TJ,2008-02,4302.0
SI,IS-ING-TJ,2008-02,4127.0
SK,IS-ING-TJ,2008-02,23371.0
TR,IS-ING-TJ,2008-02,140692.0
UK,IS-ING-TJ,2008-02,151853.0
XK,IS-ING-TJ,2008-02,
AL,IS-ING-TJ,2008-03,
AT,IS-ING-TJ,2008-03,28517.0
BE,IS-ING-TJ,2008-03,55822.0
BG,IS-ING-TJ,2008-03,10723.0
CY,IS-ING-TJ,2008-03,0.0
CZ,IS-ING-TJ,2008-03,33815.0
DE,IS-ING-TJ,2008-03,354987.0
DK,IS-ING-TJ,2008-03,0.0
EE,IS-ING-TJ,2008-03,4508.0
EL,IS-ING-TJ,2008-03,15647.0
ES,IS-ING-TJ,2008-03,145890.0
EU27_2020,IS-ING-TJ,2008-03,1388961.0
FI,IS-ING-TJ,2008-03,17875.0
FR,IS-ING-TJ,2008-03,183177.0
HR,IS-ING-TJ,2008-03,3250.0
HU,IS-ING-TJ,2008-03,43772.0
