geo\TIME_PERIOD,indic,Date,Value
AL,IS-ROGD-T,2008-01,
AT,IS-ROGD-T,2008-01,
BE,IS-ROGD-T,2008-01,
BG,IS-ROGD-T,2008-01,
CY,IS-ROGD-T,2008-01,
CZ,IS-ROGD-T,2008-01,
DE,IS-ROGD-T,2008-01,
DK,IS-ROGD-T,2008-01,
EE,IS-ROGD-T,2008-01,
EL,IS-ROGD-T,2008-01,
ES,IS-ROGD-T,2008-01,
EU27_2020,IS-ROGD-T,2008-01,
FI,IS-ROGD-T,2008-01,
FR,IS-ROGD-T,2008-01,
HR,IS-ROGD-T,2008-01,
HU,IS-ROGD-T,2008-01,
IE,IS-ROGD-T,2008-01,
IT,IS-ROGD-T,2008-01,
LT,IS-ROGD-T,2008-01,
LU,IS-ROGD-T,2008-01,
LV,IS-ROGD-T,2008-01,
MK,IS-ROGD-T,2008-01,
MT,IS-ROGD-T,2008-01,
NL,IS-ROGD-T,2008-01,
NO,IS-ROGD-T,2008-01,
PL,IS-ROGD-T,2008-01,
PT,IS-ROGD-T,2008-01,
RO,IS-ROGD-T,2008-01,
RS,IS-ROGD-T,2008-01,
SE,IS-ROGD-T,2008-01,
SI,IS-ROGD-T,2008-01,
SK,IS-ROGD-T,2008-01,
TR,IS-ROGD-T,2008-01,
UK,IS-ROGD-T,2008-01,
AL,IS-ROGD-T,2008-02,
AT,IS-ROGD-T,2008-02,
BE,IS-ROGD-T,2008-02,
BG,IS-ROGD-T,2008-02,
CY,IS-ROGD-T,2008-02,
CZ,IS-ROGD-T,2008-02,
DE,IS-ROGD-T,2008-02,
DK,IS-ROGD-T,2008-02,
EE,IS-ROGD-T,2008-02,
EL,IS-ROGD-T,2008-02,
ES,IS-ROGD-T,2008-02,
EU27_2020,IS-ROGD-T,2008-02,
FI,IS-ROGD-T,2008-02,
FR,IS-ROGD-T,2008-02,
HR,IS-ROGD-T,2008-02,
HU,IS-ROGD-T,2008-02,
IE,IS-ROGD-T,2008-02,
IT,IS-ROGD-T,2008-02,
LT,IS-ROGD-T,2008-02,
LU,IS-ROGD-T,2008-02,
LV,IS-ROGD-T,2008-02,
MK,IS-ROGD-T,2008-02,
MT,IS-ROGD-T,2008-02,
NL,IS-ROGD-T,2008-02,
NO,IS-ROGD-T,2008-02,
PL,IS-ROGD-T,2008-02,
PT,IS-ROGD-T,2008-02,
RO,IS-ROGD-T,2008-02,
RS,IS-ROGD-T,2008-02,
SE,IS-ROGD-T,2008-02,
SI,IS-ROGD-T,2008-02,
SK,IS-ROGD-T,2008-02,
TR,IS-ROGD-T,2008-02,
UK,IS-ROGD-T,2008-02,
AL,IS-ROGD-T,2008-03,
AT,IS-ROGD-T,2008-03,
BE,IS-ROGD-T,2008-03,
BG,IS-ROGD-T,2008-03,
CY,IS-ROGD-T,2008-03,
CZ,IS-ROGD-T,2008-03,
DE,IS-ROGD-T,2008-03,
DK,IS-ROGD-T,2008-03,
EE,IS-ROGD-T,2008-03,
