geo\TIME_PERIOD,indic,Date,Value
AL,IS-ROMS-T,2008-01,
AT,IS-ROMS-T,2008-01,
BE,IS-ROMS-T,2008-01,
BG,IS-ROMS-T,2008-01,
CY,IS-ROMS-T,2008-01,
CZ,IS-ROMS-T,2008-01,
DE,IS-ROMS-T,2008-01,
DK,IS-ROMS-T,2008-01,
EE,IS-ROMS-T,2008-01,
EL,IS-ROMS-T,2008-01,
ES,IS-ROMS-T,2008-01,
EU27_2020,IS-ROMS-T,2008-01,
FI,IS-ROMS-T,2008-01,
FR,IS-ROMS-T,2008-01,
HR,IS-ROMS-T,2008-01,
HU,IS-ROMS-T,2008-01,
IE,IS-ROMS-T,2008-01,
IT,IS-ROMS-T,2008-01,
LT,IS-ROMS-T,2008-01,
LU,IS-ROMS-T,2008-01,
LV,IS-ROMS-T,2008-01,
MK,IS-ROMS-T,2008-01,
MT,IS-ROMS-T,2008-01,
NL,IS-ROMS-T,2008-01,
NO,IS-ROMS-T,2008-01,
PL,IS-ROMS-T,2008-01,
PT,IS-ROMS-T,2008-01,
RO,IS-ROMS-T,2008-01,
RS,IS-ROMS-T,2008-01,
SE,IS-ROMS-T,2008-01,
SI,IS-ROMS-T,2008-01,
SK,IS-ROMS-T,2008-01,
TR,IS-ROMS-T,2008-01,
UK,IS-ROMS-T,2008-01,
AL,IS-ROMS-T,2008-02,
AT,IS-ROMS-T,2008-02,
BE,IS-ROMS-T,2008-02,
BG,IS-ROMS-T,2008-02,
CY,IS-ROMS-T,2008-02,
CZ,IS-ROMS-T,2008-02,
DE,IS-ROMS-T,2008-02,
DK,IS-ROMS-T,2008-02,
EE,IS-ROMS-T,2008-02,
EL,IS-ROMS-T,2008-02,
ES,IS-ROMS-T,2008-02,
EU27_2020,IS-ROMS-T,2008-02,
FI,IS-ROMS-T,2008-02,
FR,IS-ROMS-T,2008-02,
HR,IS-ROMS-T,2008-02,
HU,IS-ROMS-T,2008-02,
IE,IS-ROMS-T,2008-02,
IT,IS-ROMS-T,2008-02,
LT,IS-ROMS-T,2008-02,
LU,IS-ROMS-T,2008-02,
LV,IS-ROMS-T,2008-02,
MK,IS-ROMS-T,2008-02,
MT,IS-ROMS-T,2008-02,
NL,IS-ROMS-T,2008-02,
NO,IS-ROMS-T,2008-02,
PL,IS-ROMS-T,2008-02,
PT,IS-ROMS-T,2008-02,
RO,IS-ROMS-T,2008-02,
RS,IS-ROMS-T,2008-02,
SE,IS-ROMS-T,2008-02,
SI,IS-ROMS-T,2008-02,
SK,IS-ROMS-T,2008-02,
TR,IS-ROMS-T,2008-02,
UK,IS-ROMS-T,2008-02,
AL,IS-ROMS-T,2008-03,
AT,IS-ROMS-T,2008-03,
BE,IS-ROMS-T,2008-03,
BG,IS-ROMS-T,2008-03,
CY,IS-ROMS-T,2008-03,
CZ,IS-ROMS-T,2008-03,
DE,IS-ROMS-T,2008-03,
DK,IS-ROMS-T,2008-03,
EE,IS-ROMS-T,2008-03,
EL,IS-ROMS-T,2008-03,
ES,IS-ROMS-T,2008-03,
EU27_2020,IS-ROMS-T,2008-03,
FI,IS-ROMS-T,2008-03,
FR,IS-ROMS-T,2008-03,
HR,IS-ROMS-T,2008-03,
HU,IS-ROMS-T,2008-03,
IE,IS-ROMS-T,2008-03,
IT,IS-ROMS-T,2008-03,
LT,IS-ROMS-T,2008-03,
LU,IS-ROMS-T,2008-03,
LV,IS-ROMS-T,2008-03,
MK,IS-ROMS-T,2008-03,
MT,IS-ROMS-T,2008-03,
NL,IS-ROMS-T,2008-03,
NO,IS-ROMS-T,2008-03,
PL,IS-ROMS-T,2008-03,
PT,IS-ROMS-T,2008-03,
RO,IS-ROMS-T,2008-03,
RS,IS-ROMS-T,2008-03,
SE,IS-ROMS-T,2008-03,
SI,IS-ROMS-T,2008-03,
SK,IS-ROMS-T,2008-03,
TR,IS-ROMS-T,2008-03,
UK,IS-ROMS-T,2008-03,
AL,IS-ROMS-T,2008-04,
