,Date,Country,Temperature
1488,2000-01,AUT,-4.0
1489,2000-02,AUT,2.0
1490,2000-03,AUT,4.0
1491,2000-04,AUT,10.0
1492,2000-05,AUT,14.0
1493,2000-06,AUT,17.0
1494,2000-07,AUT,16.0
1495,2000-08,AUT,18.0
1496,2000-09,AUT,13.0
1497,2000-10,AUT,10.0
1498,2000-11,AUT,5.0
1499,2000-12,AUT,0.0
1500,2001-01,AUT,-2.0
1501,2001-02,AUT,1.0
1502,2001-03,AUT,5.0
1503,2001-04,AUT,6.0
1504,2001-05,AUT,14.0
1505,2001-06,AUT,14.0
1506,2001-07,AUT,18.0
1507,2001-08,AUT,18.0
1508,2001-09,AUT,11.0
1509,2001-10,AUT,12.0
1510,2001-11,AUT,2.0
1511,2001-12,AUT,-4.0
1512,2002-01,AUT,-2.0
1513,2002-02,AUT,3.0
1514,2002-03,AUT,5.0
1515,2002-04,AUT,7.0
1516,2002-05,AUT,14.0
1517,2002-06,AUT,18.0
1518,2002-07,AUT,18.0
1519,2002-08,AUT,17.0
1520,2002-09,AUT,12.0
1521,2002-10,AUT,8.0
1522,2002-11,AUT,5.0
1523,2002-12,AUT,-1.0
1524,2003-01,AUT,-3.0
1525,2003-02,AUT,-4.0
1526,2003-03,AUT,4.0
1527,2003-04,AUT,7.0
1528,2003-05,AUT,15.0
1529,2003-06,AUT,20.0
1530,2003-07,AUT,18.0
1531,2003-08,AUT,21.0
1532,2003-09,AUT,13.0
1533,2003-10,AUT,5.0
1534,2003-11,AUT,5.0
1535,2003-12,AUT,-1.0
1536,2004-01,AUT,-4.0
1537,2004-02,AUT,0.0
1538,2004-03,AUT,2.0
1539,2004-04,AUT,8.0
1540,2004-05,AUT,11.0
1541,2004-06,AUT,15.0
1542,2004-07,AUT,17.0
1543,2004-08,AUT,18.0
1544,2004-09,AUT,13.0
1545,2004-10,AUT,10.0
1546,2004-11,AUT,3.0
1547,2004-12,AUT,-1.0
1548,2005-01,AUT,-2.0
1549,2005-02,AUT,-4.0
1550,2005-03,AUT,2.0
1551,2005-04,AUT,8.0
1552,2005-05,AUT,13.0
1553,2005-06,AUT,16.0
1554,2005-07,AUT,18.0
1555,2005-08,AUT,15.0
1556,2005-09,AUT,14.0
1557,2005-10,AUT,9.0
1558,2005-11,AUT,2.0
1559,2005-12,AUT,-3.0
1560,2006-01,AUT,-6.0
1561,2006-02,AUT,-2.0
1562,2006-03,AUT,1.0
1563,2006-04,AUT,8.0
1564,2006-05,AUT,12.0
1565,2006-06,AUT,16.0
1566,2006-07,AUT,20.0
1567,2006-08,AUT,15.0
1568,2006-09,AUT,16.0
1569,2006-10,AUT,11.0
1570,2006-11,AUT,5.0
1571,2006-12,AUT,1.0
1572,2007-01,AUT,2.0
1573,2007-02,AUT,3.0
1574,2007-03,AUT,5.0
1575,2007-04,AUT,11.0
1576,2007-05,AUT,14.0
1577,2007-06,AUT,18.0
1578,2007-07,AUT,18.0
1579,2007-08,AUT,17.0
1580,2007-09,AUT,12.0
1581,2007-10,AUT,8.0
1582,2007-11,AUT,1.0
1583,2007-12,AUT,-2.0
1584,2008-01,AUT,1.0
1585,2008-02,AUT,2.0
1586,2008-03,AUT,3.0
1587,2008-04,AUT,8.0
1588,2008-05,AUT,13.0
1589,2008-06,AUT,17.0
1590,2008-07,AUT,17.0
1591,2008-08,AUT,17.0
1592,2008-09,AUT,12.0
1593,2008-10,AUT,9.0
1594,2008-11,AUT,4.0
1595,2008-12,AUT,-0.0
1596,2009-01,AUT,-4.0
1597,2009-02,AUT,-1.0
1598,2009-03,AUT,3.0
1599,2009-04,AUT,11.0
1600,2009-05,AUT,14.0
1601,2009-06,AUT,15.0
1602,2009-07,AUT,18.0
1603,2009-08,AUT,19.0
1604,2009-09,AUT,15.0
1605,2009-10,AUT,8.0
1606,2009-11,AUT,5.0
1607,2009-12,AUT,-1.0
1608,2010-01,AUT,-4.0
1609,2010-02,AUT,-2.0
1610,2010-03,AUT,3.0
1611,2010-04,AUT,8.0
1612,2010-05,AUT,12.0
1613,2010-06,AUT,16.0
1614,2010-07,AUT,19.0
1615,2010-08,AUT,17.0
1616,2010-09,AUT,12.0
1617,2010-10,AUT,7.0
1618,2010-11,AUT,4.0
1619,2010-12,AUT,-4.0
1620,2011-01,AUT,-2.0
1621,2011-02,AUT,-0.0
1622,2011-03,AUT,5.0
1623,2011-04,AUT,10.0
1624,2011-05,AUT,13.0
1625,2011-06,AUT,16.0
1626,2011-07,AUT,16.0
1627,2011-08,AUT,19.0
1628,2011-09,AUT,16.0
1629,2011-10,AUT,8.0
1630,2011-11,AUT,3.0
1631,2011-12,AUT,1.0
1632,2012-01,AUT,-1.0
1633,2012-02,AUT,-5.0
1634,2012-03,AUT,6.0
1635,2012-04,AUT,8.0
1636,2012-05,AUT,13.0
1637,2012-06,AUT,17.0
1638,2012-07,AUT,18.0
1639,2012-08,AUT,19.0
1640,2012-09,AUT,14.0
1641,2012-10,AUT,8.0
1642,2012-11,AUT,5.0
1643,2012-12,AUT,-1.0
1644,2013-01,AUT,-1.0
1645,2013-02,AUT,-2.0
1646,2013-03,AUT,1.0
1647,2013-04,AUT,9.0
1648,2013-05,AUT,12.0
1649,2013-06,AUT,15.0
1650,2013-07,AUT,19.0
1651,2013-08,AUT,18.0
1652,2013-09,AUT,13.0
1653,2013-10,AUT,10.0
1654,2013-11,AUT,3.0
1655,2013-12,AUT,1.0
1656,2014-01,AUT,1.0
1657,2014-02,AUT,2.0
1658,2014-03,AUT,7.0
1659,2014-04,AUT,10.0
1660,2014-05,AUT,12.0
1661,2014-06,AUT,16.0
1662,2014-07,AUT,18.0
1663,2014-08,AUT,16.0
1664,2014-09,AUT,14.0
