DATE,gwh
2008-01-01,6187.0
2008-02-01,5725.0
2008-03-01,5878.0
2008-04-01,5438.0
2008-05-01,5218.0
2008-06-01,5210.0
2008-07-01,5297.0
2008-08-01,5086.0
2008-09-01,5343.0
2008-10-01,5630.0
2008-11-01,5634.0
2008-12-01,5786.0
2009-01-01,6083.0
2009-02-01,5474.0
2009-03-01,5719.0
2009-04-01,4883.0
2009-05-01,4896.0
2009-06-01,4846.0
2009-07-01,5052.0
2009-08-01,4871.0
2009-09-01,5075.0
2009-10-01,5486.0
2009-11-01,5577.0
2009-12-01,5960.0
2010-01-01,6191.0
2010-02-01,5617.0
2010-03-01,5900.0
2010-04-01,5230.0
2010-05-01,5165.0
2010-06-01,5116.0
2010-07-01,5255.0
2010-08-01,5101.0
2010-09-01,5255.0
2010-10-01,5647.0
2010-11-01,5771.0
2010-12-01,6362.0
2011-01-01,6236.0
2011-02-01,5723.0
2011-03-01,6003.0
2011-04-01,5228.0
2011-05-01,5294.0
2011-06-01,5070.0
2011-07-01,5264.0
2011-08-01,5229.0
2011-09-01,5307.0
2011-10-01,5600.0
2011-11-01,5814.0
2011-12-01,6042.0
2012-01-01,6184.0
2012-02-01,6184.0
2012-03-01,5881.0
2012-04-01,5298.0
2012-05-01,5245.0
2012-06-01,5172.0
2012-07-01,5318.0
2012-08-01,5243.0
2012-09-01,5200.0
2012-10-01,5629.0
2012-11-01,5744.0
2012-12-01,6126.0
2013-01-01,6338.0
2013-02-01,5812.0
2013-03-01,6103.0
2013-04-01,5422.0
2013-05-01,5241.0
2013-06-01,5204.0
2013-07-01,5360.0
2013-08-01,5209.0
2013-09-01,5283.0
2013-10-01,5747.0
2013-11-01,5890.0
2013-12-01,6100.0
2014-01-01,6237.0
2014-02-01,5652.0
2014-03-01,5839.0
2014-04-01,5360.0
2014-05-01,5362.0
2014-06-01,5152.0
2014-07-01,5409.0
2014-08-01,5180.0
2014-09-01,5364.0
2014-10-01,5690.0
2014-11-01,5693.0
2014-12-01,6072.0
2015-01-01,6340.0
2015-02-01,5857.0
2015-03-01,6044.0
2015-04-01,5395.0
2015-05-01,5334.0
2015-06-01,5260.0
2015-07-01,5450.0
2015-08-01,5294.0
2015-09-01,5371.0
2015-10-01,5666.0
2015-11-01,5843.0
2015-12-01,6067.0
2016-01-01,6397.0
2016-02-01,5888.0
2016-03-01,6067.0
2016-04-01,5361.0
2016-05-01,5324.0
2016-06-01,5317.0
2016-07-01,5360.0
2016-08-01,5229.0
2016-09-01,5341.0
2016-10-01,5777.0
2016-11-01,6097.0
2016-12-01,6372.0
2017-01-01,6487.446
2017-02-01,5573.772
2017-03-01,5701.377
2017-04-01,5137.276
2017-05-01,5091.377
2017-06-01,5001.528
2017-07-01,5128.008
2017-08-01,5100.821
2017-09-01,5204.858
2017-10-01,5416.884
2017-11-01,5829.19
2017-12-01,6044.64
2018-01-01,6112.774
2018-02-01,5784.098
2018-03-01,6142.653
2018-04-01,5088.123
2018-05-01,5128.399
2018-06-01,5104.72
2018-07-01,5155.167
2018-08-01,5158.118
2018-09-01,5080.326
2018-10-01,5500.696
2018-11-01,5747.568
2018-12-01,6077.264
2019-01-01,6392.332
2019-02-01,5573.692
2019-03-01,5765.677
2019-04-01,5245.656
2019-05-01,5355.76
2019-06-01,5028.373
2019-07-01,5238.936
2019-08-01,5108.134
2019-09-01,5129.621
2019-10-01,5510.255
2019-11-01,5692.274
2019-12-01,5970.166
2020-01-01,6191.459
2020-02-01,5637.256
2020-03-01,5536.454
2020-04-01,4553.688
2020-05-01,4748.615
2020-06-01,4715.88
2020-07-01,5016.111
2020-08-01,4984.917
2020-09-01,5070.661
2020-10-01,5569.589
2020-11-01,5653.941
2020-12-01,5948.676
2021-01-01,6061.711
2021-02-01,5417.159
2021-03-01,5837.977
2021-04-01,5292.216
2021-05-01,5200.376
2021-06-01,5139.668
2021-07-01,5238.894
2021-08-01,5125.441
2021-09-01,5138.257
2021-10-01,5534.87
2021-11-01,5889.139
2021-12-01,6194.275
2022-01-01,6241.162
2022-02-01,5572.221
2022-03-01,5889.35
2022-04-01,5254.954
2022-05-01,5067.914
2022-06-01,4959.545
2022-07-01,5000.562
2022-08-01,4923.9
2022-09-01,4961.22
2022-10-01,5021.191
2022-11-01,5395.307
2022-12-01,5788.714
2023-01-01,5787.018
2023-02-01,5240.429
2023-03-01,5440.089
2023-04-01,4908.547
2023-05-01,4739.386
2023-06-01,4526.915
2023-07-01,4622.931
2023-08-01,4649.187
2023-09-01,4624.367
