lat,lon,time,mean_Tmean_Yearly
35.9,16.1,22645,--
63.800000000000004,20.800000000000004,1461,2.753228
60.300000000000004,11.0,35064,6.600007
71.0,-6.700000000000003,14975,--
44.1,-3.1000000000000014,32507,--
51.7,34.9,23011,9.119357
45.1,22.800000000000004,12784,8.161443
54.800000000000004,-6.700000000000003,18993,9.327349
58.0,11.700000000000003,9862,8.244913
55.0,13.899999999999999,29585,10.141878
34.3,-4.0,24472,18.405228
37.5,-14.3,28855,--
69.5,3.5,2191,--
66.7,17.200000000000003,24837,-0.8826357
51.400000000000006,20.199999999999996,10957,8.857016
46.900000000000006,34.6,21184,11.439033
56.9,-17.2,7305,--
67.2,2.8000000000000043,23011,--
69.0,29.800000000000004,24837,3.0397375
66.80000000000001,-5.0,15340,--
49.400000000000006,-13.100000000000001,29220,--
66.30000000000001,21.000000000000007,14245,0.88037294
37.3,34.50000000000001,30681,7.086786
41.2,-11.899999999999999,32872,--
68.1,-4.199999999999996,13879,--
55.7,25.1,23376,8.272874
52.2,-17.8,19358,--
40.1,-9.899999999999999,36160,--
71.1,13.700000000000003,28855,--
72.4,24.699999999999996,25933,--
46.5,1.5,2557,11.607184
71.4,21.500000000000007,30681,--
49.400000000000006,-3.1000000000000014,21550,--
67.30000000000001,29.4,29220,3.16956
39.1,-9.899999999999999,29950,--
42.3,20.500000000000007,35794,12.65679
45.6,16.4,35429,14.1900215
62.5,5.700000000000003,10957,--
36.3,10.899999999999999,0,18.8345
35.3,-22.8,4383,--
35.1,19.0,18993,--
55.5,-23.8,14975,--
61.400000000000006,-21.1,12053,--
49.6,-9.5,27759,--
68.4,-10.0,9862,--
47.2,13.600000000000001,9496,3.2332854
41.6,-21.7,30316,--
47.2,15.399999999999999,5844,7.971616
54.5,-8.100000000000001,14610,8.761694
48.3,34.9,18628,10.536679
54.6,-13.899999999999999,25933,--
51.7,29.699999999999996,28489,10.005288
64.30000000000001,10.200000000000003,5113,6.468846
60.1,-0.5,35794,--
37.6,-15.8,27759,--
43.8,15.800000000000004,4383,14.477581
63.800000000000004,23.500000000000007,3287,3.16909
66.5,15.0,25933,0.45768443
55.9,-1.8999999999999986,20454,9.728646
69.4,-15.5,8035,--
39.2,21.6,25202,11.932327
54.2,-11.399999999999999,12053,--
42.2,14.600000000000001,14975,15.50873
32.0,0.20000000000000284,9862,20.164572
39.7,-24.1,34333,--
52.5,-7.200000000000003,0,9.30802
59.800000000000004,-8.5,33603,--
66.1,19.800000000000004,31411,1.9673845
53.0,17.6,1461,8.537304
56.5,-14.5,29220,--
39.7,4.700000000000003,35794,--
37.4,26.699999999999996,5479,18.222425
59.4,15.100000000000001,32507,7.447924
52.7,-15.2,8766,--
45.400000000000006,9.100000000000001,28855,14.798189
30.700000000000003,-5.699999999999996,1826,20.072397
38.2,5.899999999999999,29220,--
40.0,-13.399999999999999,34333,--
51.6,-10.5,34333,--
51.7,-8.0,18993,11.820324
66.6,0.8999999999999986,5844,--
31.8,26.1,18993,21.627024
50.8,-23.1,17897,--
34.4,1.1000000000000014,10227,17.08275
30.200000000000003,-0.7999999999999972,20089,23.944328
35.1,23.4,16436,--
65.9,-14.2,30316,6.8043222
59.9,-4.899999999999999,2922,--
32.9,-15.0,19723,--
35.9,19.699999999999996,26663,--
34.0,-4.399999999999999,29585,20.163904
53.6,-13.7,13879,--
50.1,1.3999999999999986,9131,11.174337
55.1,-10.799999999999997,35794,--
31.8,16.300000000000004,9131,--
39.0,8.0,5113,--
36.3,-4.299999999999997,27394,--
34.1,3.0,27759,19.309822
54.5,7.399999999999999,18993,--
57.0,8.800000000000004,5844,8.415824
67.2,12.399999999999999,16801,--
54.5,-2.1000000000000014,6209,7.4607315
54.4,13.600000000000001,4748,9.119355
68.30000000000001,31.6,3652,-0.42522374
52.3,16.700000000000003,26663,10.5315
58.5,28.199999999999996,20819,7.0462337
63.900000000000006,-21.9,32507,2.8801107
48.7,-10.600000000000001,18262,--
40.900000000000006,-5.600000000000001,25567,14.250139
57.0,-0.29999999999999716,18628,--
69.5,-21.0,1096,--
31.200000000000003,-22.2,16071,--
43.5,7.200000000000003,13149,--
62.400000000000006,29.000000000000007,32507,5.9665565
62.800000000000004,33.4,12418,3.6001549
42.2,29.6,13514,--
71.6,-9.700000000000003,30316,--
31.9,32.9,21550,--
62.2,8.800000000000004,21550,0.5648469
71.80000000000001,-18.7,33603,--
61.1,14.300000000000004,30681,4.9448376
30.6,-2.799999999999997,12418,23.062994
55.2,-12.200000000000003,17167,--
42.6,-22.4,33238,--
36.0,-6.0,30316,--
30.5,26.300000000000004,15706,20.764322
38.900000000000006,-20.6,8035,--
67.2,11.0,8401,--
38.1,26.9,18262,18.515697
55.5,19.6,13149,--
32.8,12.800000000000004,11688,21.09627
65.6,30.000000000000007,8766,1.1195616
67.1,-21.9,35429,--
57.9,15.600000000000001,8035,6.506127
45.2,7.0,4748,3.688733
72.30000000000001,30.000000000000007,34699,--
33.9,-3.6000000000000014,34333,20.022457
37.3,12.5,26298,--
37.3,17.6,13879,--
57.800000000000004,-22.4,4383,--
67.6,14.700000000000003,16801,5.4784145
65.30000000000001,13.600000000000001,26298,2.1564302
59.4,-11.200000000000003,22645,--
62.6,12.800000000000004,7670,0.39954907
30.1,-2.1999999999999957,33968,25.423038
44.3,15.700000000000003,8401,8.894577
48.5,-13.5,32142,--
49.900000000000006,26.699999999999996,11323,10.17196
32.6,-1.2999999999999972,15706,17.707458
60.5,17.800000000000004,35064,--
61.1,-24.1,3287,--
54.800000000000004,15.899999999999999,18262,--
57.4,-6.600000000000001,9131,7.437936
39.7,12.5,25567,--
63.1,-8.700000000000003,5113,--
72.4,10.800000000000004,19723,--
33.1,18.6,12053,--
50.1,10.700000000000003,13149,9.711767
55.7,5.800000000000004,12784,--
41.1,-15.100000000000001,9862,--
40.400000000000006,-15.5,365,--
61.800000000000004,-13.899999999999999,29950,--
63.300000000000004,32.9,35429,4.921536
52.2,-19.0,27394,--
33.0,27.500000000000007,14245,--
51.7,-3.6000000000000014,19358,9.600253
67.6,6.800000000000004,9496,--
43.5,-8.399999999999999,21915,16.077322
67.6,2.700000000000003,34333,--
42.6,15.800000000000004,26663,--
47.6,-2.3999999999999986,2191,11.997434
